slice,source report,model,learner family,utility,delta vs best fixed,95% CI,positive split share,oracle gap closed,notes / failure mode,n reps,regret,cost,choice share
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,adaboost_expanded,boosted tree,0.906530,0.005414,"[0.003952, 0.006892]",0.950,0.104,ok x20,20,0.045868,0.148547,summary:0.074; one_hop:0.922; two_hop:0.004
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,decision_tree_expanded,tree,0.906211,0.005095,"[0.003100, 0.007113]",0.900,0.099,ok x20,20,0.046188,0.162250,summary:0.304; one_hop:0.557; two_hop:0.069; full_context:0.030; ce:0.041
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,logistic_oracle_view,classifier,0.905012,0.003896,"[0.001544, 0.006217]",0.750,0.073,direct oracle-view classification is less stable than utility regression,20,0.047386,0.097155,summary:0.425; one_hop:0.533; two_hop:0.040; full_context:0.002; ce:0.001
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,ridge_expanded,linear,0.904267,0.003151,"[0.002315, 0.003968]",0.950,0.061,ok x20,20,0.048131,0.222115,summary:0.002; one_hop:0.380; two_hop:0.618; ce:0.001
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,elasticnet_expanded,linear,0.903678,0.002561,"[0.001704, 0.003470]",0.900,0.049,ok x20,20,0.048721,0.223300,summary:0.001; one_hop:0.365; two_hop:0.634
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,fixed_one_hop,fixed reference,0.898895,0.000000,"[0.000000, 0.000000]",1.000,0.000,best fixed structured reference in the 2k CE run,20,0.053425,0.160000,one_hop:1.000
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,fixed_two_hop,fixed reference,0.898439,-0.000456,"[-0.000456, -0.000456]",0.000,-0.009,ok,20,0.053881,0.260000,two_hop:1.000
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,fixed_summary,fixed reference,0.771995,-0.126900,"[-0.126900, -0.126900]",0.000,-2.375,ok,20,0.180325,0.000000,summary:1.000
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,fixed_ce,fixed reference,0.759066,-0.139829,"[-0.139829, -0.139829]",0.000,-2.617,ok,20,0.193254,0.950000,ce:1.000
2wiki_structured_evidence,2wiki_structured_learner_family_sweep,fixed_full_context,fixed reference,0.680039,-0.218856,"[-0.218856, -0.218856]",0.000,-4.097,ok,20,0.272281,0.550000,full_context:1.000
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,oracle,evaluator-only oracle,0.883949,0.090054,"[0.090054, 0.090054]",1.000,1.000,"evaluator-held upper bound; measures structured view-mixing headroom, not a legal solver",10,0.000000,0.083097,summary:0.563; provided_context:0.170; hyperlink_1hop:0.172; hyperlink_2hop:0.083; full_local_pool:0.013
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,extra_trees_multioutput,tree ensemble,0.825321,0.031617,"[0.030482, 0.032624]",1.000,0.347,strongest released legal learner-family row; positive on every repeated split,10,0.059625,0.123119,summary:0.497; provided_context:0.045; hyperlink_1hop:0.263; hyperlink_2hop:0.192; full_local_pool:0.003
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,dev_best_single_model,dev-selected learner,0.824883,0.031179,"[0.029683, 0.032267]",1.000,0.342,ok x10,10,0.060063,0.120520,summary:0.498; provided_context:0.044; hyperlink_1hop:0.281; hyperlink_2hop:0.174; full_local_pool:0.003
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,rf_multioutput,tree ensemble,0.823963,0.030259,"[0.028732, 0.031850]",1.000,0.331,tree multi-output row; positive on every repeated split,10,0.060983,0.124348,summary:0.498; provided_context:0.043; hyperlink_1hop:0.254; hyperlink_2hop:0.203; full_local_pool:0.002
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,hist_gbdt_expanded,boosted tree,0.823158,0.029454,"[0.028357, 0.030459]",1.000,0.323,boosted-tree expanded-feature row; positive on every repeated split in the hyperlink audit,10,0.061788,0.104093,summary:0.494; provided_context:0.046; hyperlink_1hop:0.414; hyperlink_2hop:0.036; full_local_pool:0.010
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,extra_trees_expanded,tree ensemble,0.822984,0.029280,"[0.027560, 0.030859]",1.000,0.321,ok x10,10,0.061962,0.119322,summary:0.508; provided_context:0.073; hyperlink_1hop:0.245; hyperlink_2hop:0.149; full_local_pool:0.025
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,rf_expanded,tree ensemble,0.820112,0.026408,"[0.024936, 0.027975]",1.000,0.289,ok x10,10,0.064834,0.117399,summary:0.499; provided_context:0.076; hyperlink_1hop:0.260; hyperlink_2hop:0.147; full_local_pool:0.017
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,elasticnet_multioutput,linear multi-output,0.818480,0.024776,"[0.023794, 0.025777]",1.000,0.272,regularized linear multi-output readout; positive on every repeated split,10,0.066465,0.166496,summary:0.381; provided_context:0.018; hyperlink_1hop:0.281; hyperlink_2hop:0.320; full_local_pool:0.000
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,ridge_multioutput,linear multi-output,0.818274,0.024570,"[0.023637, 0.025506]",1.000,0.269,simple linear multi-output readout; positive on every repeated split,10,0.066672,0.165666,summary:0.383; provided_context:0.021; hyperlink_1hop:0.277; hyperlink_2hop:0.319; full_local_pool:0.000
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,knn_expanded,nonparametric,0.817714,0.024010,"[0.022967, 0.025082]",1.000,0.263,ok x10,10,0.067232,0.149606,summary:0.400; provided_context:0.047; hyperlink_1hop:0.305; hyperlink_2hop:0.245; full_local_pool:0.003
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,gbdt_expanded,boosted tree,0.817312,0.023609,"[0.022895, 0.024308]",1.000,0.259,ok x10,10,0.067633,0.123975,summary:0.438; provided_context:0.001; hyperlink_1hop:0.514; hyperlink_2hop:0.023; full_local_pool:0.024
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,mlp_expanded,neural,0.816156,0.022452,"[0.021034, 0.024034]",1.000,0.246,neural regressor remains positive in this structured regime,10,0.068789,0.164760,summary:0.391; provided_context:0.051; hyperlink_1hop:0.270; hyperlink_2hop:0.246; full_local_pool:0.042
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,mlp_multioutput,neural,0.815229,0.021525,"[0.019853, 0.023359]",1.000,0.236,neural multi-output regressor remains positive in this structured regime,10,0.069717,0.166596,summary:0.357; provided_context:0.075; hyperlink_1hop:0.290; hyperlink_2hop:0.238; full_local_pool:0.039
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,decision_tree_expanded,tree,0.806087,0.012383,"[0.009648, 0.015006]",1.000,0.134,ok x10,10,0.078859,0.074871,summary:0.583; provided_context:0.140; hyperlink_1hop:0.249; hyperlink_2hop:0.006; full_local_pool:0.021
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,fixed_hyperlink_1hop,fixed reference,0.793895,0.000000,"[0.000000, 0.000000]",1.000,0.000,best fixed hyperlink reference in the 10k corpus-scale run,10,0.090054,0.200000,hyperlink_1hop:1.000
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,ridge_expanded,linear,0.793355,-0.000349,"[-0.001014, 0.000000]",0.100,-0.004,ok x10,10,0.091591,0.200000,hyperlink_1hop:1.000
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,elasticnet_expanded,linear,0.793355,-0.000349,"[-0.001014, 0.000000]",0.100,-0.004,ok x10,10,0.091591,0.200000,hyperlink_1hop:1.000
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,logistic_oracle_view,classifier,0.791755,-0.001949,"[-0.004109, 0.000158]",0.200,-0.022,direct oracle-view classification is less stable than utility regression,10,0.093191,0.021151,summary:0.851; provided_context:0.073; hyperlink_1hop:0.077; hyperlink_2hop:0.000
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,fixed_hyperlink_2hop,fixed reference,0.791329,-0.002566,"[-0.002566, -0.002566]",0.000,-0.028,ok,10,0.092620,0.340000,hyperlink_2hop:1.000
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,fixed_summary,fixed reference,0.773529,-0.020367,"[-0.020367, -0.020367]",0.000,-0.226,ok,10,0.110420,0.000000,summary:1.000
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,fixed_full_local_pool,fixed reference,0.752080,-0.041816,"[-0.041816, -0.041816]",0.000,-0.464,ok,10,0.131869,0.550000,full_local_pool:1.000
2wiki_hyperlink_stress,2wiki_hyperlink_learner_family_sweep,fixed_provided_context,fixed reference,0.749792,-0.044104,"[-0.044104, -0.044104]",0.000,-0.490,ok,10,0.134157,0.080000,provided_context:1.000
