slice,source report,model,learner family,utility,delta vs best fixed,95% CI,positive split share,oracle gap closed,notes / failure mode,n reps,regret,cost,choice share
dense_semantic,dense_legal_learner_sweep,adaboost_expanded,boosted tree,0.348320,-0.000308,"[-0.002217, 0.001602]",0.450,-0.004,ok,20,0.075753,0.343206,summary:0.001; pq:0.622; full:0.377
dense_semantic,dense_legal_learner_sweep,hgb_multioutput,other,0.344730,-0.003897,"[-0.006222, -0.001551]",0.250,-0.052,ok,20,0.079342,0.397900,summary:0.064; pq:0.382; full:0.554
dense_semantic,dense_legal_learner_sweep,svr_rbf_expanded,kernel regression,0.344719,-0.003908,"[-0.005869, -0.001734]",0.200,-0.052,ok,20,0.079354,0.393143,summary:0.079; pq:0.372; full:0.550
dense_semantic,dense_legal_learner_sweep,tabnet_expanded,neural tabular,0.338692,-0.009935,"[-0.015222, -0.005567]",0.200,-0.132,neural tabular learner underperforms fixed full here,20,0.085381,0.452272,summary:0.017; pq:0.311; full:0.673
dense_semantic,dense_legal_learner_sweep,mlp_expanded,neural,0.336270,-0.012358,"[-0.014959, -0.009978]",0.000,-0.164,neural regressor underperforms fixed full here,20,0.087803,0.376150,summary:0.130; pq:0.338; full:0.532
dense_semantic,dense_legal_learner_sweep,mlp_multioutput,neural,0.336068,-0.012560,"[-0.014854, -0.010063]",0.000,-0.166,neural multi-output regressor underperforms fixed full here,20,0.088005,0.375958,summary:0.103; pq:0.380; full:0.517
dense_semantic,dense_legal_learner_sweep,fixed_pq,fixed reference,0.320120,-0.028507,"[-0.031402, -0.025585]",0.000,-0.378,cheaper fixed compressed-view reference,20,0.103953,0.200000,summary:0.000; pq:1.000; full:0.000
dense_semantic,dense_legal_learner_sweep,decision_tree_expanded,tree,0.296220,-0.052407,"[-0.056516, -0.048235]",0.000,-0.695,ok,20,0.127853,0.186782,summary:0.256; pq:0.644; full:0.100
dense_semantic,dense_legal_learner_sweep,fixed_summary,fixed reference,0.135212,-0.213415,"[-0.217492, -0.208956]",0.000,-2.829,cheap first-view reference,20,0.288861,0.000000,summary:1.000; pq:0.000; full:0.000
dense_semantic,dense_additional_learner_sweep,top5_rule_vote,QPP/rule,0.354983,0.006355,"[0.005084, 0.007640]",1.000,0.084,simple QPP/rule ensemble; positive weak-signal check,20,0.069090,0.421501,summary:0.000; pq:0.417; full:0.583
dense_semantic,dense_additional_learner_sweep,top9_rule_vote,QPP/rule,0.354557,0.005929,"[0.004715, 0.007190]",1.000,0.079,selected rule: rule_pq_std_ge_0.0401_then_pq_else_full; rule_pq_std_le_0.0401_then_full_else_pq; rule_pq_std_ge_0.0372_then_pq_else_full,20,0.069516,0.421700,summary:0.000; pq:0.417; full:0.583
dense_semantic,dense_additional_learner_sweep,best_single_qpp_rule,QPP/rule,0.354432,0.005805,"[0.004649, 0.007007]",1.000,0.077,single visible-score rule; positive weak-signal check,20,0.069641,0.425646,summary:0.000; pq:0.406; full:0.594
dense_semantic,dense_additional_learner_sweep,top3_rule_vote,QPP/rule,0.354432,0.005805,"[0.004649, 0.007007]",1.000,0.077,simple QPP/rule ensemble; positive weak-signal check,20,0.069641,0.425646,summary:0.000; pq:0.406; full:0.594
dense_semantic,dense_additional_learner_sweep,elasticnet_multioutput_linear,linear multi-output,0.352395,0.003767,"[0.002313, 0.005124]",0.800,0.050,regularized linear multi-output readout; modest positive signal,20,0.071678,0.427564,summary:0.037; pq:0.345; full:0.618
dense_semantic,dense_additional_learner_sweep,lasso_multioutput,linear multi-output,0.352173,0.003545,"[0.002102, 0.004933]",0.800,0.047,sparse linear multi-output readout; modest positive signal,20,0.071900,0.427899,summary:0.035; pq:0.347; full:0.618
dense_semantic,dense_additional_learner_sweep,ridge_multioutput_linear,linear multi-output,0.352126,0.003498,"[0.002283, 0.004608]",0.900,0.046,simple linear multi-output readout; modest positive signal,20,0.071947,0.424553,summary:0.041; pq:0.346; full:0.613
dense_semantic,dense_additional_learner_sweep,ridge_expanded_linear,linear,0.348628,0.000000,"[0.000000, 0.000000]",0.000,0.000,ok,20,0.075445,0.580000,summary:0.000; pq:0.000; full:1.000
dense_semantic,dense_additional_learner_sweep,lasso_expanded,linear,0.348628,0.000000,"[0.000000, 0.000000]",0.000,0.000,ok,20,0.075445,0.580000,summary:0.000; pq:0.000; full:1.000
dense_semantic,dense_additional_learner_sweep,elasticnet_expanded_linear,linear,0.348628,0.000000,"[0.000000, 0.000000]",0.000,0.000,ok,20,0.075445,0.580000,summary:0.000; pq:0.000; full:1.000
dense_semantic,dense_additional_learner_sweep,meta_qpp_margin_cascade,QPP/rule cascade,0.347541,-0.001087,"[-0.002906, 0.000496]",0.400,-0.014,S-margin ge 0.277; PQ-margin ge 0.044,20,0.076532,0.414433,summary:0.049; pq:0.362; full:0.590
dense_semantic,dense_additional_learner_sweep,calibrated_ridge_isotonic,calibrated regressor,0.342707,-0.005921,"[-0.007777, -0.004076]",0.050,-0.078,calibration can over-select the wrong paid view,20,0.081366,0.497997,summary:0.000; pq:0.216; full:0.784
dense_semantic,dense_additional_learner_sweep,xgboost_pairwise_ranker,rank-learning,0.329013,-0.019615,"[-0.022732, -0.016673]",0.000,-0.260,rank objective overfits/over-selects cheaper views here,20,0.095060,0.234049,summary:0.077; pq:0.793; full:0.130
dense_semantic,dense_additional_learner_sweep,calibrated_logistic_oracle_view,calibrated classifier,0.326675,-0.021952,"[-0.026047, -0.017811]",0.000,-0.291,calibrated classifier still underperforms in weak-signal regime,20,0.097398,0.272016,summary:0.214; pq:0.483; full:0.302
dense_semantic,dense_additional_learner_sweep,lightgbm_lambdamart_ranker,rank-learning,0.325392,-0.023236,"[-0.026682, -0.019855]",0.000,-0.308,rank objective overfits/over-selects cheaper views here,20,0.098681,0.255258,summary:0.222; pq:0.515; full:0.262
dense_semantic,dense_additional_learner_sweep,logistic_oracle_view,classifier,0.309292,-0.039336,"[-0.043559, -0.035028]",0.000,-0.521,oracle-view classifier over-selects cheap/mixed actions,20,0.114781,0.236604,summary:0.332; pq:0.397; full:0.271
dense_semantic,dense_additional_learner_sweep,pairwise_ranknet,rank-learning,0.307038,-0.041590,"[-0.047765, -0.035769]",0.000,-0.551,neural pairwise ranker underperforms fixed full here,20,0.117035,0.277571,summary:0.325; pq:0.299; full:0.375
