dim,kind,seed,n_points
50,two_cluster,20310518,160
50,two_cluster,20310519,160
50,two_cluster,20310520,160
50,two_cluster,20310521,160
50,two_cluster,20310522,160
50,two_cluster,20310523,160
50,two_cluster,20310524,160
50,two_cluster,20310525,160
50,two_cluster,20310526,160
50,two_cluster,20310527,160
50,two_cluster,20310528,160
50,two_cluster,20310529,160
50,two_cluster,20310530,160
50,two_cluster,20310531,160
50,two_cluster,20310532,160
50,four_cluster,20310618,160
50,four_cluster,20310619,160
50,four_cluster,20310620,160
50,four_cluster,20310621,160
50,four_cluster,20310622,160
50,four_cluster,20310623,160
50,four_cluster,20310624,160
50,four_cluster,20310625,160
50,four_cluster,20310626,160
50,four_cluster,20310627,160
50,four_cluster,20310628,160
50,four_cluster,20310629,160
50,four_cluster,20310630,160
50,four_cluster,20310631,160
50,four_cluster,20310632,160
50,four_cluster,20310633,160
50,ring,20310719,160
50,ring,20310720,160
50,ring,20310721,160
50,ring,20310722,160
50,ring,20310723,160
50,ring,20310724,160
50,ring,20310725,160
50,ring,20310726,160
50,ring,20310727,160
50,ring,20310728,160
50,ring,20310729,160
50,ring,20310730,160
50,ring,20310731,160
50,ring,20310732,160
50,ring,20310733,160
50,ring,20310734,160
50,sparse_blocks,20310820,160
50,sparse_blocks,20310821,160
50,sparse_blocks,20310822,160
50,sparse_blocks,20310823,160
50,sparse_blocks,20310824,160
50,sparse_blocks,20310825,160
50,sparse_blocks,20310826,160
50,sparse_blocks,20310827,160
50,sparse_blocks,20310828,160
50,sparse_blocks,20310829,160
50,sparse_blocks,20310830,160
50,sparse_blocks,20310831,160
50,sparse_blocks,20310832,160
50,sparse_blocks,20310833,160
50,sparse_blocks,20310834,160
50,sparse_blocks,20310835,160
128,two_cluster,20388517,160
128,two_cluster,20388518,160
128,two_cluster,20388519,160
128,two_cluster,20388520,160
128,two_cluster,20388521,160
128,two_cluster,20388522,160
128,two_cluster,20388523,160
128,two_cluster,20388524,160
128,two_cluster,20388525,160
128,two_cluster,20388526,160
128,two_cluster,20388527,160
128,two_cluster,20388528,160
128,two_cluster,20388529,160
128,two_cluster,20388530,160
128,two_cluster,20388531,160
128,two_cluster,20388532,160
128,four_cluster,20388618,160
128,four_cluster,20388619,160
128,four_cluster,20388620,160
128,four_cluster,20388621,160
128,four_cluster,20388622,160
128,four_cluster,20388623,160
128,four_cluster,20388624,160
128,four_cluster,20388625,160
128,four_cluster,20388626,160
128,four_cluster,20388627,160
128,four_cluster,20388628,160
128,four_cluster,20388629,160
128,four_cluster,20388630,160
128,four_cluster,20388631,160
128,four_cluster,20388632,160
128,four_cluster,20388633,160
128,ring,20388719,160
128,ring,20388720,160
128,ring,20388721,160
128,ring,20388722,160
128,ring,20388723,160
128,ring,20388724,160
128,ring,20388725,160
128,ring,20388726,160
128,ring,20388727,160
128,ring,20388728,160
128,ring,20388729,160
128,ring,20388730,160
128,ring,20388731,160
128,ring,20388732,160
128,ring,20388733,160
128,ring,20388734,160
128,sparse_blocks,20388820,160
128,sparse_blocks,20388821,160
128,sparse_blocks,20388822,160
128,sparse_blocks,20388823,160
128,sparse_blocks,20388824,160
128,sparse_blocks,20388825,160
128,sparse_blocks,20388826,160
128,sparse_blocks,20388827,160
128,sparse_blocks,20388828,160
128,sparse_blocks,20388829,160
128,sparse_blocks,20388830,160
128,sparse_blocks,20388831,160
128,sparse_blocks,20388832,160
128,sparse_blocks,20388833,160
128,sparse_blocks,20388834,160
128,sparse_blocks,20388835,160
