budget,family,seed,phase_name,hole_proxy,topology_hole_rich,bbox_aspect_ratio,geometry_elongated,access_value_gain,route_escalate,blind_norm_cd,point_norm_cd,structural_fidelity_raw_gain,structural_fidelity_cost_adjusted_gain
budget_06_thin_strip,mean-reversion,1,optimization-limited zone,39.0,0,1.9304818378078896,1,-0.0464,0,0.2432290505625842,0.3662371073875366,-0.12300805682495242,-0.1694080568249524
budget_06_thin_strip,mean-reversion,2,effective-collapse zone,39.0,0,1.9304818378078896,1,-0.0464,0,0.1363755687416837,0.3072589488700213,-0.17088338012833762,-0.21728338012833762
budget_06_thin_strip,mean-reversion,3,optimization-limited zone,39.0,0,1.9304818378078896,1,-0.0464,0,0.2386744342656035,0.2889971541737821,-0.050322719908178576,-0.09672271990817857
budget_06_thin_strip,multi-hole,0,effective-collapse zone,73.0,1,1.0002814165939322,0,-0.0464,0,0.1267940223974448,0.2757825231733318,-0.148988500775887,-0.195388500775887
budget_06_thin_strip,multi-hole,1,optimization-limited zone,73.0,1,1.0002814165939322,0,-0.0464,0,0.2930599596115854,0.3003653149990348,-0.007305355387449419,-0.053705355387449416
budget_06_thin_strip,multi-hole,2,effective-collapse zone,73.0,1,1.0002814165939322,0,-0.0464,0,0.1500133743159664,0.277778857620687,-0.1277654833047206,-0.1741654833047206
budget_06_thin_strip,multi-hole,3,optimization-limited zone,73.0,1,1.0002814165939322,0,-0.0464,0,0.2484461480972966,0.3149312777731864,-0.06648512967588982,-0.11288512967588982
budget_06_thin_strip,nested-rings,0,effective-collapse zone,80.0,1,1.0113656184223867,0,-0.0464,0,0.0994402125752645,0.2887552873523754,-0.18931507477711088,-0.23571507477711087
budget_06_thin_strip,nested-rings,1,optimization-limited zone,80.0,1,1.0113656184223867,0,-0.0464,0,0.2450479203982629,0.3120115562434715,-0.06696363584520859,-0.11336363584520859
budget_06_thin_strip,nested-rings,2,effective-collapse zone,80.0,1,1.0113656184223867,0,-0.0464,0,0.1251191073802154,0.3221190169048838,-0.19699990952466842,-0.24339990952466842
budget_06_thin_strip,nested-rings,3,optimization-limited zone,80.0,1,1.0113656184223867,0,-0.0464,0,0.219056664481228,0.3193388915873466,-0.10028222710611859,-0.14668222710611858
budget_06_thin_strip,pinwheel,0,effective-collapse zone,66.0,1,1.0084614575281672,0,-0.0464,0,0.1613410257468197,0.2918382395709785,-0.1304972138241588,-0.1768972138241588
budget_06_thin_strip,pinwheel,1,optimization-limited zone,66.0,1,1.0084614575281672,0,-0.0464,0,0.2348999377850061,0.3124929599850896,-0.07759302220008349,-0.12399302220008349
budget_06_thin_strip,pinwheel,2,effective-collapse zone,66.0,1,1.0084614575281672,0,-0.0464,0,0.2076046436807694,0.3165573456241488,-0.10895270194337939,-0.15535270194337938
budget_06_thin_strip,pinwheel,3,optimization-limited zone,66.0,1,1.0084614575281672,0,-0.0464,0,0.249707332719797,0.3097915306964284,-0.06008419797663139,-0.10648419797663139
budget_06_thin_strip,spiral,0,effective-collapse zone,48.0,1,1.1364522233114445,0,-0.0464,0,0.1266791758071991,0.363198244133162,-0.2365190683259629,-0.2829190683259629
budget_06_thin_strip,spiral,1,optimization-limited zone,48.0,1,1.1364522233114445,0,-0.0464,0,0.2209467283467051,0.3771051381915578,-0.15615840984485269,-0.20255840984485268
budget_06_thin_strip,spiral,2,effective-collapse zone,48.0,1,1.1364522233114445,0,-0.0464,0,0.119421627613895,0.3346247192447454,-0.21520309163085038,-0.2616030916308504
budget_06_thin_strip,spiral,3,optimization-limited zone,48.0,1,1.1364522233114445,0,-0.0464,0,0.240891458445346,0.3568302895304024,-0.1159388310850564,-0.1623388310850564
budget_06_thin_strip,volatility-clustering,0,optimization-limited zone,37.0,0,1.071409286066147,0,-0.0464,0,0.2249134997415963,0.3039830620984397,-0.07906956235684343,-0.12546956235684342
budget_06_thin_strip,volatility-clustering,1,effective-collapse zone,37.0,0,1.071409286066147,0,-0.0464,0,0.1186907875194094,0.3091203578483105,-0.1904295703289011,-0.2368295703289011
budget_06_thin_strip,volatility-clustering,2,optimization-limited zone,37.0,0,1.071409286066147,0,-0.0464,0,0.276862145712786,0.3389078679885661,-0.06204572227578009,-0.10844572227578009
budget_06_thin_strip,volatility-clustering,3,effective-collapse zone,37.0,0,1.071409286066147,0,-0.0464,0,0.1580444526714893,0.3175438056269207,-0.15949935295543138,-0.20589935295543138
budget_10_extreme,barbell-bridge,0,optimization-limited zone,40.0,1,4.195334447827693,1,-0.0464,0,0.2278369241222066,0.3658484410691562,-0.1380115169469496,-0.1844115169469496
budget_10_extreme,barbell-bridge,1,optimization-limited zone,40.0,1,4.195334447827693,1,-0.0464,0,0.2495658263885568,0.3372745670714605,-0.08770874068290369,-0.13410874068290368
budget_10_extreme,barbell-bridge,2,ambiguity zone,40.0,1,4.195334447827693,1,0.9536,1,0.1570278543699804,0.3165580612000431,-0.1595302068300627,-0.2059302068300627
budget_10_extreme,barbell-bridge,3,optimization-limited zone,40.0,1,4.195334447827693,1,0.9536,1,0.2329994580352017,0.3184925745199067,-0.085493116484705,-0.131893116484705
budget_10_extreme,crescent,0,ambiguity zone,12.0,0,1.926420323251142,1,0.9536,1,0.113978671974225,0.327402652986981,-0.213423981012756,-0.259823981012756
budget_10_extreme,crescent,1,optimization-limited zone,12.0,0,1.926420323251142,1,0.9536,1,0.2260415395962185,0.3378020537478228,-0.11176051415160429,-0.1581605141516043
budget_10_extreme,crescent,2,ambiguity zone,12.0,0,1.926420323251142,1,0.9536,1,0.0957725816079507,0.3156747564246301,-0.2199021748166794,-0.2663021748166794
budget_10_extreme,crescent,3,optimization-limited zone,12.0,0,1.926420323251142,1,0.9536,1,0.2803848984483627,0.3182911672581671,-0.03790626880980441,-0.08430626880980441
budget_10_extreme,cross-branch,0,ambiguity zone,1.0,0,1.0024045069907674,0,-0.0464,0,0.0819833058419494,0.3331253217282525,-0.2511420158863031,-0.2975420158863031
budget_10_extreme,cross-branch,1,optimization-limited zone,1.0,0,1.0024045069907674,0,0.9536,1,0.2337506559519115,0.3826943944216158,-0.1489437384697043,-0.1953437384697043
budget_10_extreme,cross-branch,2,ambiguity zone,1.0,0,1.0024045069907674,0,-0.0464,0,0.1346026419562232,0.3930900183655996,-0.25848737640937636,-0.30488737640937635
budget_10_extreme,cross-branch,3,optimization-limited zone,1.0,0,1.0024045069907674,0,0.9536,1,0.3194172720183011,0.3709214918973167,-0.0515042198790156,-0.0979042198790156
budget_10_extreme,double-loop,0,optimization-limited zone,3.0,0,1.9632453591236552,1,0.9536,1,0.2247269338455076,0.3341601601555045,-0.10943322630999688,-0.15583322630999688
budget_10_extreme,double-loop,1,ambiguity zone,3.0,0,1.9632453591236552,1,0.9536,1,0.0704956432412424,0.2484588618523893,-0.1779632186111469,-0.2243632186111469
budget_10_extreme,double-loop,2,optimization-limited zone,3.0,0,1.9632453591236552,1,0.9536,1,0.2451753971270635,0.326333263881006,-0.08115786675394249,-0.12755786675394248
budget_10_extreme,double-loop,3,ambiguity zone,3.0,0,1.9632453591236552,1,0.9536,1,0.1074434577722617,0.2510597760040314,-0.14361631823176968,-0.19001631823176968
budget_10_extreme,mean-reversion,0,effective-collapse zone,39.0,0,1.9304818378078896,1,-0.0464,0,0.1445686270710941,0.3124273994535137,-0.1678587723824196,-0.2142587723824196
budget_10_extreme,mean-reversion,1,optimization-limited zone,39.0,0,1.9304818378078896,1,-0.0464,0,0.2216325668237224,0.4492439748796589,-0.2276114080559365,-0.2740114080559365
budget_10_extreme,mean-reversion,2,ambiguity zone,39.0,0,1.9304818378078896,1,-0.0464,0,0.1535280437571051,0.3657235061387434,-0.21219546238163828,-0.2585954623816383
budget_10_extreme,mean-reversion,3,optimization-limited zone,39.0,0,1.9304818378078896,1,-0.0464,0,0.2224225916387625,0.3511463482460299,-0.12872375660726743,-0.17512375660726742
budget_10_extreme,multi-hole,0,effective-collapse zone,73.0,1,1.0002814165939322,0,0.9536,1,0.1212706316487501,0.3615402083440212,-0.24026957669527108,-0.28666957669527104
budget_10_extreme,multi-hole,1,optimization-limited zone,73.0,1,1.0002814165939322,0,-0.0464,0,0.2732985460114507,0.3478791107615551,-0.07458056475010438,-0.12098056475010438
budget_10_extreme,multi-hole,2,effective-collapse zone,73.0,1,1.0002814165939322,0,-0.0464,0,0.1426762206778109,0.3731036581337753,-0.23042743745596436,-0.2768274374559644
budget_10_extreme,multi-hole,3,optimization-limited zone,73.0,1,1.0002814165939322,0,-0.0464,0,0.2388538337049444,0.370347187537493,-0.13149335383254862,-0.17789335383254862
budget_10_extreme,nested-rings,0,effective-collapse zone,80.0,1,1.0113656184223867,0,-0.0464,0,0.0896774652664508,0.3979780211585413,-0.3083005558920905,-0.3547005558920905
budget_10_extreme,nested-rings,1,optimization-limited zone,80.0,1,1.0113656184223867,0,-0.0464,0,0.2413951541171335,0.3808971144868136,-0.13950196036968013,-0.18590196036968012
budget_10_extreme,nested-rings,2,effective-collapse zone,80.0,1,1.0113656184223867,0,-0.0464,0,0.1178383210546054,0.4072738544525601,-0.2894355333979547,-0.3358355333979547
budget_10_extreme,nested-rings,3,effective-collapse zone,80.0,1,1.0113656184223867,0,-0.0464,0,0.209109516268684,0.3705829645912222,-0.1614734483225382,-0.2078734483225382
budget_10_extreme,pinwheel,0,effective-collapse zone,66.0,1,1.0084614575281672,0,-0.0464,0,0.1592252752907218,0.3210985587401644,-0.1618732834494426,-0.2082732834494426
budget_10_extreme,pinwheel,1,decision-fragile zone,66.0,1,1.0084614575281672,0,-1.0464,0,0.2178420597365547,0.3229459803917863,-0.10510392065523158,-0.15150392065523158
budget_10_extreme,pinwheel,2,effective-collapse zone,66.0,1,1.0084614575281672,0,-0.0464,0,0.203386699835936,0.3340772377814845,-0.13069053794554852,-0.17709053794554852
budget_10_extreme,pinwheel,3,optimization-limited zone,66.0,1,1.0084614575281672,0,-0.0464,0,0.2388295957740417,0.332961221177631,-0.0941316254035893,-0.1405316254035893
budget_10_extreme,spiral,0,effective-collapse zone,48.0,1,1.1364522233114445,0,0.9536,1,0.1202336897279046,0.4395819170661273,-0.3193482273382227,-0.3657482273382227
budget_10_extreme,spiral,1,optimization-limited zone,48.0,1,1.1364522233114445,0,-0.0464,0,0.223189772094445,0.4418761455562857,-0.2186863734618407,-0.2650863734618407
budget_10_extreme,spiral,2,effective-collapse zone,48.0,1,1.1364522233114445,0,0.9536,1,0.1181809049964637,0.4170430150791865,-0.2988621100827228,-0.3452621100827228
budget_10_extreme,spiral,3,optimization-limited zone,48.0,1,1.1364522233114445,0,0.9536,1,0.2249959742894831,0.3702643522616018,-0.14526837797211872,-0.19166837797211872
budget_10_extreme,volatility-clustering,0,decision-fragile zone,37.0,0,1.071409286066147,0,-1.0464,0,0.2240594914457539,0.3621876814966118,-0.13812819005085789,-0.18452819005085788
budget_10_extreme,volatility-clustering,1,decision-fragile zone,37.0,0,1.071409286066147,0,-1.0464,0,0.1272773715170519,0.3780899468534405,-0.25081257533638857,-0.29721257533638856
budget_10_extreme,volatility-clustering,2,decision-fragile zone,37.0,0,1.071409286066147,0,-1.0464,0,0.2539247817072707,0.3482640670760464,-0.09433928536877573,-0.14073928536877572
budget_10_extreme,volatility-clustering,3,effective-collapse zone,37.0,0,1.071409286066147,0,-0.0464,0,0.1646388777572996,0.3426228373533327,-0.1779839595960331,-0.2243839595960331
budget_15_vertical_strip,barbell-bridge,0,decision-fragile zone,40.0,1,4.195334447827693,1,-1.0464,0,0.2353656163090669,0.4515409714809887,-0.2161753551719218,-0.26257535517192176
budget_15_vertical_strip,barbell-bridge,1,optimization-limited zone,40.0,1,4.195334447827693,1,-0.0464,0,0.2737343303644081,0.3202483325640882,-0.046514002199680105,-0.0929140021996801
budget_15_vertical_strip,barbell-bridge,2,decision-fragile zone,40.0,1,4.195334447827693,1,-1.0464,0,0.1583276467038532,0.3573700142810332,-0.19904236757718002,-0.24544236757718002
budget_15_vertical_strip,barbell-bridge,3,optimization-limited zone,40.0,1,4.195334447827693,1,-0.0464,0,0.2311598715995771,0.4020016506741393,-0.1708417790745622,-0.21724177907456219
budget_15_vertical_strip,crescent,0,ambiguity zone,12.0,0,1.926420323251142,1,0.9536,1,0.1180820177298032,0.3131632886921111,-0.19508127096230787,-0.24148127096230787
budget_15_vertical_strip,crescent,1,optimization-limited zone,12.0,0,1.926420323251142,1,0.9536,1,0.2510590969516802,0.3063203437240007,-0.05526124677232047,-0.10166124677232047
budget_15_vertical_strip,crescent,2,ambiguity zone,12.0,0,1.926420323251142,1,-0.0464,0,0.1017551329638843,0.2994566200646086,-0.1977014871007243,-0.2441014871007243
budget_15_vertical_strip,crescent,3,optimization-limited zone,12.0,0,1.926420323251142,1,0.9536,1,0.2617679723502114,0.3636323812465719,-0.1018644088963605,-0.1482644088963605
budget_15_vertical_strip,cross-branch,0,ambiguity zone,1.0,0,1.0024045069907674,0,-0.0464,0,0.1138999450237165,0.2209017130512324,-0.1070017680275159,-0.1534017680275159
budget_15_vertical_strip,cross-branch,1,decision-fragile zone,1.0,0,1.0024045069907674,0,-1.0464,0,0.2416462455770345,0.3601376147948679,-0.11849136921783338,-0.16489136921783337
budget_15_vertical_strip,cross-branch,2,ambiguity zone,1.0,0,1.0024045069907674,0,-0.0464,0,0.1311629059000693,0.2347235079953485,-0.1035606020952792,-0.1499606020952792
budget_15_vertical_strip,cross-branch,3,optimization-limited zone,1.0,0,1.0024045069907674,0,-0.0464,0,0.2563658918799656,0.3573220687379942,-0.1009561768580286,-0.1473561768580286
budget_15_vertical_strip,double-loop,0,optimization-limited zone,3.0,0,1.9632453591236552,1,0.9536,1,0.242049994168615,0.4957798611263471,-0.2537298669577321,-0.3001298669577321
budget_15_vertical_strip,double-loop,1,ambiguity zone,3.0,0,1.9632453591236552,1,0.9536,1,0.0890626472005745,0.234269081607959,-0.1452064344073845,-0.1916064344073845
budget_15_vertical_strip,double-loop,2,optimization-limited zone,3.0,0,1.9632453591236552,1,-0.0464,0,0.2423425981046519,0.3066153626173462,-0.06427276451269429,-0.11067276451269428
budget_15_vertical_strip,double-loop,3,ambiguity zone,3.0,0,1.9632453591236552,1,0.9536,1,0.1157308116878244,0.2507554918525562,-0.1350246801647318,-0.1814246801647318
budget_15_vertical_strip,mean-reversion,0,ambiguity zone,39.0,0,1.9304818378078896,1,-0.0464,0,0.2016387610103809,0.3333921839619025,-0.13175342295152162,-0.17815342295152162
budget_15_vertical_strip,mean-reversion,1,optimization-limited zone,39.0,0,1.9304818378078896,1,-0.0464,0,0.2215732519363215,0.302354707082139,-0.08078145514581753,-0.12718145514581752
budget_15_vertical_strip,mean-reversion,2,ambiguity zone,39.0,0,1.9304818378078896,1,-0.0464,0,0.1899230529802838,0.2911251282515723,-0.10120207527128847,-0.14760207527128846
budget_15_vertical_strip,mean-reversion,3,optimization-limited zone,39.0,0,1.9304818378078896,1,-0.0464,0,0.2374389157042651,0.3235563719314328,-0.08611745622716768,-0.13251745622716768
budget_15_vertical_strip,multi-hole,0,effective-collapse zone,73.0,1,1.0002814165939322,0,-0.0464,0,0.126797502855564,0.2440182176124576,-0.11722071475689361,-0.1636207147568936
budget_15_vertical_strip,multi-hole,1,optimization-limited zone,73.0,1,1.0002814165939322,0,-0.0464,0,0.2491979465435953,0.3194942226371099,-0.0702962760935146,-0.1166962760935146
budget_15_vertical_strip,multi-hole,2,effective-collapse zone,73.0,1,1.0002814165939322,0,-0.0464,0,0.1301937164942007,0.2730583806754065,-0.1428646641812058,-0.1892646641812058
budget_15_vertical_strip,multi-hole,3,optimization-limited zone,73.0,1,1.0002814165939322,0,-0.0464,0,0.2496547961112129,0.3482118633481,-0.09855706723688709,-0.1449570672368871
budget_15_vertical_strip,nested-rings,0,effective-collapse zone,80.0,1,1.0113656184223867,0,0.9536,1,0.1024530179520979,0.2387657157523284,-0.13631269780023053,-0.18271269780023053
budget_15_vertical_strip,nested-rings,1,optimization-limited zone,80.0,1,1.0113656184223867,0,-0.0464,0,0.2572815145772043,0.2956456097729946,-0.038364095195790315,-0.08476409519579031
budget_15_vertical_strip,nested-rings,2,effective-collapse zone,80.0,1,1.0113656184223867,0,-0.0464,0,0.1023556356904321,0.2515031439368785,-0.1491475082464464,-0.1955475082464464
budget_15_vertical_strip,nested-rings,3,optimization-limited zone,80.0,1,1.0113656184223867,0,-0.0464,0,0.2610031789934009,0.2474602374103411,0.013542941583059825,-0.03285705841694017
budget_15_vertical_strip,pinwheel,0,decision-fragile zone,66.0,1,1.0084614575281672,0,-1.0464,0,0.1794000334329067,0.3184262483539391,-0.13902621492103243,-0.18542621492103242
budget_15_vertical_strip,pinwheel,1,decision-fragile zone,66.0,1,1.0084614575281672,0,-1.0464,0,0.2345635767622564,0.3030084498405704,-0.06844487307831401,-0.11484487307831401
budget_15_vertical_strip,pinwheel,2,decision-fragile zone,66.0,1,1.0084614575281672,0,-1.0464,0,0.2082508674474454,0.2644463127468408,-0.05619544529939538,-0.10259544529939538
budget_15_vertical_strip,pinwheel,3,decision-fragile zone,66.0,1,1.0084614575281672,0,-1.0464,0,0.2464528357695666,0.3082974453089593,-0.06184460953939269,-0.10824460953939269
budget_15_vertical_strip,spiral,0,effective-collapse zone,48.0,1,1.1364522233114445,0,-0.0464,0,0.1174118311181385,0.3084419761426082,-0.19103014502446972,-0.2374301450244697
budget_15_vertical_strip,spiral,1,optimization-limited zone,48.0,1,1.1364522233114445,0,0.9536,1,0.2141363527262093,0.2854324549076851,-0.0712961021814758,-0.1176961021814758
budget_15_vertical_strip,spiral,2,effective-collapse zone,48.0,1,1.1364522233114445,0,-0.0464,0,0.1242454820561363,0.3082635774458619,-0.18401809538972563,-0.23041809538972563
budget_15_vertical_strip,spiral,3,optimization-limited zone,48.0,1,1.1364522233114445,0,0.9536,1,0.249496828748251,0.5576755357217232,-0.30817870697347227,-0.35457870697347227
budget_15_vertical_strip,volatility-clustering,0,optimization-limited zone,37.0,0,1.071409286066147,0,-0.0464,0,0.2406088489178229,0.3646142081144408,-0.1240053591966179,-0.1704053591966179
budget_15_vertical_strip,volatility-clustering,1,ambiguity zone,37.0,0,1.071409286066147,0,-0.0464,0,0.160048827086926,0.3599128559028789,-0.19986402881595292,-0.2462640288159529
budget_15_vertical_strip,volatility-clustering,2,decision-fragile zone,37.0,0,1.071409286066147,0,-1.0464,0,0.2392768224912473,0.3640537866295526,-0.12477696413830533,-0.17117696413830533
budget_15_vertical_strip,volatility-clustering,3,ambiguity zone,37.0,0,1.071409286066147,0,0.9536,1,0.182770806936809,0.3387834130565118,-0.15601260611970277,-0.20241260611970277
budget_17_high_rot_aniso,barbell-bridge,0,information-limited zone,40.0,1,4.195334447827693,1,-0.0464,0,0.2388498021827313,0.5825506268673407,-0.3437008246846094,-0.3901008246846094
budget_17_high_rot_aniso,barbell-bridge,1,information-limited zone,40.0,1,4.195334447827693,1,-0.0464,0,0.2863202385128674,0.7828437963727704,-0.49652355785990293,-0.542923557859903
budget_17_high_rot_aniso,barbell-bridge,2,ambiguity zone,40.0,1,4.195334447827693,1,-0.0464,0,0.1650140062670792,0.3193357922842688,-0.15432178601718957,-0.20072178601718957
budget_17_high_rot_aniso,barbell-bridge,3,information-limited zone,40.0,1,4.195334447827693,1,0.9536,1,0.239808296896898,0.636212161305013,-0.39640386440811504,-0.44280386440811503
budget_17_high_rot_aniso,crescent,0,ambiguity zone,12.0,0,1.926420323251142,1,0.9536,1,0.1148113982946949,0.3132858495421274,-0.19847445124743252,-0.2448744512474325
budget_17_high_rot_aniso,crescent,1,optimization-limited zone,12.0,0,1.926420323251142,1,0.9536,1,0.2589267783888054,0.3396400632989698,-0.08071328491016438,-0.12711328491016438
budget_17_high_rot_aniso,crescent,2,ambiguity zone,12.0,0,1.926420323251142,1,0.9536,1,0.100180454693197,0.3083318972621253,-0.20815144256892829,-0.25455144256892825
budget_17_high_rot_aniso,crescent,3,optimization-limited zone,12.0,0,1.926420323251142,1,0.9536,1,0.278798116685342,0.3753537051950855,-0.0965555885097435,-0.1429555885097435
budget_17_high_rot_aniso,cross-branch,0,ambiguity zone,1.0,0,1.0024045069907674,0,-0.0464,0,0.1088224249237473,0.222490948729191,-0.1136685238054437,-0.1600685238054437
budget_17_high_rot_aniso,cross-branch,1,optimization-limited zone,1.0,0,1.0024045069907674,0,-0.0464,0,0.2452825335697792,0.3223003636255351,-0.07701783005575591,-0.1234178300557559
budget_17_high_rot_aniso,cross-branch,2,ambiguity zone,1.0,0,1.0024045069907674,0,-0.0464,0,0.133335293771777,0.3592817675618578,-0.22594647379008082,-0.2723464737900808
budget_17_high_rot_aniso,cross-branch,3,optimization-limited zone,1.0,0,1.0024045069907674,0,-0.0464,0,0.2822161789513673,0.4268037953052294,-0.14458761635386208,-0.19098761635386208
budget_17_high_rot_aniso,double-loop,0,optimization-limited zone,3.0,0,1.9632453591236552,1,0.9536,1,0.2392445441905917,0.3070057285709184,-0.06776118438032669,-0.11416118438032669
budget_17_high_rot_aniso,double-loop,1,ambiguity zone,3.0,0,1.9632453591236552,1,0.9536,1,0.0875197029798099,0.2033438855553594,-0.1158241825755495,-0.1622241825755495
budget_17_high_rot_aniso,double-loop,2,optimization-limited zone,3.0,0,1.9632453591236552,1,-0.0464,0,0.2509096793433973,0.2800226555882362,-0.029112976244838884,-0.07551297624483888
budget_17_high_rot_aniso,double-loop,3,ambiguity zone,3.0,0,1.9632453591236552,1,-0.0464,0,0.1161988884433857,0.2152976712709426,-0.0990987828275569,-0.1454987828275569
budget_17_high_rot_aniso,mean-reversion,0,ambiguity zone,39.0,0,1.9304818378078896,1,-0.0464,0,0.1958122481681675,0.3198668166619118,-0.1240545684937443,-0.1704545684937443
budget_17_high_rot_aniso,mean-reversion,1,optimization-limited zone,39.0,0,1.9304818378078896,1,-0.0464,0,0.2299486601749735,0.3854287139729054,-0.1554800537979319,-0.2018800537979319
budget_17_high_rot_aniso,mean-reversion,2,ambiguity zone,39.0,0,1.9304818378078896,1,-0.0464,0,0.1917993541369574,0.323907550591792,-0.1321081964548346,-0.1785081964548346
budget_17_high_rot_aniso,mean-reversion,3,optimization-limited zone,39.0,0,1.9304818378078896,1,-0.0464,0,0.2396554481186796,0.5026059423143249,-0.2629504941956453,-0.3093504941956453
budget_17_high_rot_aniso,multi-hole,0,effective-collapse zone,73.0,1,1.0002814165939322,0,-0.0464,0,0.1282623911083491,0.2790523179815243,-0.1507899268731752,-0.1971899268731752
budget_17_high_rot_aniso,multi-hole,1,optimization-limited zone,73.0,1,1.0002814165939322,0,-0.0464,0,0.2594939034052735,0.3280711265895484,-0.0685772231842749,-0.11497722318427489
budget_17_high_rot_aniso,multi-hole,2,effective-collapse zone,73.0,1,1.0002814165939322,0,-0.0464,0,0.1363424349671047,0.2887882394281763,-0.1524458044610716,-0.19884580446107158
budget_17_high_rot_aniso,multi-hole,3,optimization-limited zone,73.0,1,1.0002814165939322,0,-0.0464,0,0.2561166338086433,0.3220505019341471,-0.06593386812550378,-0.11233386812550378
budget_17_high_rot_aniso,nested-rings,0,effective-collapse zone,80.0,1,1.0113656184223867,0,-0.0464,0,0.1020785311638392,0.3016259693032045,-0.19954743813936532,-0.24594743813936532
budget_17_high_rot_aniso,nested-rings,1,optimization-limited zone,80.0,1,1.0113656184223867,0,-0.0464,0,0.2642814046994771,0.3045957640131176,-0.040314359313640524,-0.08671435931364052
budget_17_high_rot_aniso,nested-rings,2,effective-collapse zone,80.0,1,1.0113656184223867,0,-0.0464,0,0.1060433864869357,0.2930731521671714,-0.1870297656802357,-0.23342976568023568
budget_17_high_rot_aniso,nested-rings,3,optimization-limited zone,80.0,1,1.0113656184223867,0,-0.0464,0,0.2614363934899419,0.2442167398441068,0.01721965364583511,-0.029180346354164888
budget_17_high_rot_aniso,pinwheel,0,decision-fragile zone,66.0,1,1.0084614575281672,0,-1.0464,0,0.1796645106802251,0.3029526770608611,-0.123288166380636,-0.169688166380636
budget_17_high_rot_aniso,pinwheel,1,decision-fragile zone,66.0,1,1.0084614575281672,0,-1.0464,0,0.2304538692580554,0.3096440015893117,-0.07919013233125632,-0.12559013233125632
budget_17_high_rot_aniso,pinwheel,2,decision-fragile zone,66.0,1,1.0084614575281672,0,-1.0464,0,0.2036524732436284,0.2851670834770296,-0.08151461023340123,-0.12791461023340123
budget_17_high_rot_aniso,pinwheel,3,optimization-limited zone,66.0,1,1.0084614575281672,0,-0.0464,0,0.2545474604475346,0.3231378708064489,-0.06859041035891428,-0.11499041035891427
