suite,budget,family,seed,budget_difficulty,family_surface,family_connectivity,ambiguity_stratum,corruption_type
challenge,budget_23_small_high_cond,mean-reversion,2,hard,jagged,connected,high,none
challenge,budget_23_small_high_cond,mean-reversion,3,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_23_small_high_cond,volatility-clustering,0,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_23_small_high_cond,volatility-clustering,1,hard,jagged,connected,high,structured_dropout
challenge,budget_23_small_high_cond,volatility-clustering,2,hard,jagged,connected,high,clustered_occlusion
challenge,budget_23_small_high_cond,volatility-clustering,3,hard,jagged,connected,high,none
challenge,budget_23_small_high_cond,crescent,0,hard,smooth,connected,high,none
challenge,budget_23_small_high_cond,crescent,1,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_23_small_high_cond,crescent,2,hard,smooth,connected,high,structured_dropout
challenge,budget_23_small_high_cond,crescent,3,hard,smooth,connected,high,clustered_occlusion
challenge,budget_23_small_high_cond,double-loop,0,hard,smooth,connected,high,clustered_occlusion
challenge,budget_23_small_high_cond,double-loop,1,hard,smooth,connected,high,none
challenge,budget_23_small_high_cond,double-loop,2,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_23_small_high_cond,double-loop,3,hard,smooth,connected,high,structured_dropout
challenge,budget_23_small_high_cond,cross-branch,0,hard,jagged,connected,high,none
challenge,budget_23_small_high_cond,cross-branch,1,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_23_small_high_cond,cross-branch,2,hard,jagged,connected,high,structured_dropout
challenge,budget_23_small_high_cond,cross-branch,3,hard,jagged,connected,high,clustered_occlusion
challenge,budget_18_neg_diag_extreme,nested-rings,0,hard,smooth,connected,high,none
challenge,budget_18_neg_diag_extreme,nested-rings,1,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_18_neg_diag_extreme,nested-rings,2,hard,smooth,connected,high,structured_dropout
challenge,budget_18_neg_diag_extreme,nested-rings,3,hard,smooth,connected,high,clustered_occlusion
challenge,budget_18_neg_diag_extreme,multi-hole,0,hard,smooth,connected,high,structured_dropout
challenge,budget_18_neg_diag_extreme,multi-hole,1,hard,smooth,connected,high,clustered_occlusion
challenge,budget_18_neg_diag_extreme,multi-hole,2,hard,smooth,connected,high,none
challenge,budget_18_neg_diag_extreme,multi-hole,3,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_18_neg_diag_extreme,pinwheel,0,hard,jagged,connected,high,none
challenge,budget_18_neg_diag_extreme,pinwheel,1,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_18_neg_diag_extreme,pinwheel,2,hard,jagged,connected,high,structured_dropout
challenge,budget_18_neg_diag_extreme,pinwheel,3,hard,jagged,connected,high,clustered_occlusion
challenge,budget_18_neg_diag_extreme,spiral,0,hard,smooth,connected,high,structured_dropout
challenge,budget_18_neg_diag_extreme,spiral,1,hard,smooth,connected,high,clustered_occlusion
challenge,budget_18_neg_diag_extreme,spiral,2,hard,smooth,connected,high,none
challenge,budget_18_neg_diag_extreme,spiral,3,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_18_neg_diag_extreme,barbell-bridge,0,hard,jagged,connected,high,structured_dropout
challenge,budget_18_neg_diag_extreme,barbell-bridge,1,hard,jagged,connected,high,clustered_occlusion
challenge,budget_18_neg_diag_extreme,barbell-bridge,2,hard,jagged,connected,high,none
challenge,budget_18_neg_diag_extreme,barbell-bridge,3,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_18_neg_diag_extreme,mean-reversion,0,hard,jagged,connected,high,structured_dropout
challenge,budget_18_neg_diag_extreme,mean-reversion,1,hard,jagged,connected,high,clustered_occlusion
challenge,budget_18_neg_diag_extreme,mean-reversion,2,hard,jagged,connected,high,none
challenge,budget_18_neg_diag_extreme,mean-reversion,3,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_18_neg_diag_extreme,volatility-clustering,0,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_18_neg_diag_extreme,volatility-clustering,1,hard,jagged,connected,high,structured_dropout
challenge,budget_18_neg_diag_extreme,volatility-clustering,2,hard,jagged,connected,high,clustered_occlusion
challenge,budget_18_neg_diag_extreme,volatility-clustering,3,hard,jagged,connected,high,none
challenge,budget_18_neg_diag_extreme,crescent,0,hard,smooth,connected,high,none
challenge,budget_18_neg_diag_extreme,crescent,1,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_18_neg_diag_extreme,crescent,2,hard,smooth,connected,high,structured_dropout
challenge,budget_18_neg_diag_extreme,crescent,3,hard,smooth,connected,high,clustered_occlusion
challenge,budget_18_neg_diag_extreme,double-loop,0,hard,smooth,connected,high,clustered_occlusion
challenge,budget_18_neg_diag_extreme,double-loop,1,hard,smooth,connected,high,none
challenge,budget_18_neg_diag_extreme,double-loop,2,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_18_neg_diag_extreme,double-loop,3,hard,smooth,connected,high,structured_dropout
challenge,budget_18_neg_diag_extreme,cross-branch,0,hard,jagged,connected,high,none
challenge,budget_18_neg_diag_extreme,cross-branch,1,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_18_neg_diag_extreme,cross-branch,2,hard,jagged,connected,high,structured_dropout
challenge,budget_18_neg_diag_extreme,cross-branch,3,hard,jagged,connected,high,clustered_occlusion
challenge,budget_24_rotated_slender,nested-rings,0,hard,smooth,connected,high,none
challenge,budget_24_rotated_slender,nested-rings,1,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_24_rotated_slender,nested-rings,2,hard,smooth,connected,high,structured_dropout
challenge,budget_24_rotated_slender,nested-rings,3,hard,smooth,connected,high,clustered_occlusion
challenge,budget_24_rotated_slender,multi-hole,0,hard,smooth,connected,high,structured_dropout
challenge,budget_24_rotated_slender,multi-hole,1,hard,smooth,connected,high,clustered_occlusion
challenge,budget_24_rotated_slender,multi-hole,2,hard,smooth,connected,high,none
challenge,budget_24_rotated_slender,multi-hole,3,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_24_rotated_slender,pinwheel,0,hard,jagged,connected,high,none
challenge,budget_24_rotated_slender,pinwheel,1,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_24_rotated_slender,pinwheel,2,hard,jagged,connected,high,structured_dropout
challenge,budget_24_rotated_slender,pinwheel,3,hard,jagged,connected,high,clustered_occlusion
challenge,budget_24_rotated_slender,spiral,0,hard,smooth,connected,high,structured_dropout
challenge,budget_24_rotated_slender,spiral,1,hard,smooth,connected,high,clustered_occlusion
challenge,budget_24_rotated_slender,spiral,2,hard,smooth,connected,high,none
challenge,budget_24_rotated_slender,spiral,3,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_24_rotated_slender,barbell-bridge,0,hard,jagged,connected,high,structured_dropout
challenge,budget_24_rotated_slender,barbell-bridge,1,hard,jagged,connected,high,clustered_occlusion
challenge,budget_24_rotated_slender,barbell-bridge,2,hard,jagged,connected,high,none
challenge,budget_24_rotated_slender,barbell-bridge,3,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_24_rotated_slender,mean-reversion,0,hard,jagged,connected,high,structured_dropout
challenge,budget_24_rotated_slender,mean-reversion,1,hard,jagged,connected,high,clustered_occlusion
challenge,budget_24_rotated_slender,mean-reversion,2,hard,jagged,connected,high,none
challenge,budget_24_rotated_slender,mean-reversion,3,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_24_rotated_slender,volatility-clustering,0,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_24_rotated_slender,volatility-clustering,1,hard,jagged,connected,high,structured_dropout
challenge,budget_24_rotated_slender,volatility-clustering,2,hard,jagged,connected,high,clustered_occlusion
challenge,budget_24_rotated_slender,volatility-clustering,3,hard,jagged,connected,high,none
challenge,budget_24_rotated_slender,crescent,0,hard,smooth,connected,high,none
challenge,budget_24_rotated_slender,crescent,1,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_24_rotated_slender,crescent,2,hard,smooth,connected,high,structured_dropout
challenge,budget_24_rotated_slender,crescent,3,hard,smooth,connected,high,clustered_occlusion
challenge,budget_24_rotated_slender,double-loop,0,hard,smooth,connected,high,clustered_occlusion
challenge,budget_24_rotated_slender,double-loop,1,hard,smooth,connected,high,none
challenge,budget_24_rotated_slender,double-loop,2,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_24_rotated_slender,double-loop,3,hard,smooth,connected,high,structured_dropout
challenge,budget_24_rotated_slender,cross-branch,0,hard,jagged,connected,high,none
challenge,budget_24_rotated_slender,cross-branch,1,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_24_rotated_slender,cross-branch,2,hard,jagged,connected,high,structured_dropout
challenge,budget_24_rotated_slender,cross-branch,3,hard,jagged,connected,high,clustered_occlusion
challenge,budget_10_extreme,nested-rings,0,hard,smooth,connected,high,none
challenge,budget_10_extreme,nested-rings,1,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_10_extreme,nested-rings,2,hard,smooth,connected,high,structured_dropout
challenge,budget_10_extreme,nested-rings,3,hard,smooth,connected,high,clustered_occlusion
challenge,budget_10_extreme,multi-hole,0,hard,smooth,connected,high,structured_dropout
challenge,budget_10_extreme,multi-hole,1,hard,smooth,connected,high,clustered_occlusion
challenge,budget_10_extreme,multi-hole,2,hard,smooth,connected,high,none
challenge,budget_10_extreme,multi-hole,3,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_10_extreme,pinwheel,0,hard,jagged,connected,high,none
challenge,budget_10_extreme,pinwheel,1,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_10_extreme,pinwheel,2,hard,jagged,connected,high,structured_dropout
challenge,budget_10_extreme,pinwheel,3,hard,jagged,connected,high,clustered_occlusion
challenge,budget_10_extreme,spiral,0,hard,smooth,connected,high,structured_dropout
challenge,budget_10_extreme,spiral,1,hard,smooth,connected,high,clustered_occlusion
challenge,budget_10_extreme,spiral,2,hard,smooth,connected,high,none
challenge,budget_10_extreme,spiral,3,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_10_extreme,barbell-bridge,0,hard,jagged,connected,high,structured_dropout
challenge,budget_10_extreme,barbell-bridge,1,hard,jagged,connected,high,clustered_occlusion
challenge,budget_10_extreme,barbell-bridge,2,hard,jagged,connected,high,none
challenge,budget_10_extreme,barbell-bridge,3,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_10_extreme,mean-reversion,0,hard,jagged,connected,high,structured_dropout
challenge,budget_10_extreme,mean-reversion,1,hard,jagged,connected,high,clustered_occlusion
challenge,budget_10_extreme,mean-reversion,2,hard,jagged,connected,high,none
challenge,budget_10_extreme,mean-reversion,3,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_10_extreme,volatility-clustering,0,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_10_extreme,volatility-clustering,1,hard,jagged,connected,high,structured_dropout
challenge,budget_10_extreme,volatility-clustering,2,hard,jagged,connected,high,clustered_occlusion
challenge,budget_10_extreme,volatility-clustering,3,hard,jagged,connected,high,none
challenge,budget_10_extreme,crescent,0,hard,smooth,connected,high,none
challenge,budget_10_extreme,crescent,1,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_10_extreme,crescent,2,hard,smooth,connected,high,structured_dropout
challenge,budget_10_extreme,crescent,3,hard,smooth,connected,high,clustered_occlusion
challenge,budget_10_extreme,double-loop,0,hard,smooth,connected,high,clustered_occlusion
challenge,budget_10_extreme,double-loop,1,hard,smooth,connected,high,none
challenge,budget_10_extreme,double-loop,2,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_10_extreme,double-loop,3,hard,smooth,connected,high,structured_dropout
challenge,budget_10_extreme,cross-branch,0,hard,jagged,connected,high,none
challenge,budget_10_extreme,cross-branch,1,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_10_extreme,cross-branch,2,hard,jagged,connected,high,structured_dropout
challenge,budget_10_extreme,cross-branch,3,hard,jagged,connected,high,clustered_occlusion
challenge,budget_22_broad_high_cond,nested-rings,0,hard,smooth,connected,high,none
challenge,budget_22_broad_high_cond,nested-rings,1,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_22_broad_high_cond,nested-rings,2,hard,smooth,connected,high,structured_dropout
challenge,budget_22_broad_high_cond,nested-rings,3,hard,smooth,connected,high,clustered_occlusion
challenge,budget_22_broad_high_cond,multi-hole,0,hard,smooth,connected,high,structured_dropout
challenge,budget_22_broad_high_cond,multi-hole,1,hard,smooth,connected,high,clustered_occlusion
challenge,budget_22_broad_high_cond,multi-hole,2,hard,smooth,connected,high,none
challenge,budget_22_broad_high_cond,multi-hole,3,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_22_broad_high_cond,pinwheel,0,hard,jagged,connected,high,none
challenge,budget_22_broad_high_cond,pinwheel,1,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_22_broad_high_cond,pinwheel,2,hard,jagged,connected,high,structured_dropout
challenge,budget_22_broad_high_cond,pinwheel,3,hard,jagged,connected,high,clustered_occlusion
challenge,budget_22_broad_high_cond,spiral,0,hard,smooth,connected,high,structured_dropout
challenge,budget_22_broad_high_cond,spiral,1,hard,smooth,connected,high,clustered_occlusion
challenge,budget_22_broad_high_cond,spiral,2,hard,smooth,connected,high,none
challenge,budget_22_broad_high_cond,spiral,3,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_22_broad_high_cond,barbell-bridge,0,hard,jagged,connected,high,structured_dropout
challenge,budget_22_broad_high_cond,barbell-bridge,1,hard,jagged,connected,high,clustered_occlusion
challenge,budget_22_broad_high_cond,barbell-bridge,2,hard,jagged,connected,high,none
challenge,budget_22_broad_high_cond,barbell-bridge,3,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_22_broad_high_cond,mean-reversion,0,hard,jagged,connected,high,structured_dropout
challenge,budget_22_broad_high_cond,mean-reversion,1,hard,jagged,connected,high,clustered_occlusion
challenge,budget_22_broad_high_cond,mean-reversion,2,hard,jagged,connected,high,none
challenge,budget_22_broad_high_cond,mean-reversion,3,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_22_broad_high_cond,volatility-clustering,0,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_22_broad_high_cond,volatility-clustering,1,hard,jagged,connected,high,structured_dropout
challenge,budget_22_broad_high_cond,volatility-clustering,2,hard,jagged,connected,high,clustered_occlusion
challenge,budget_22_broad_high_cond,volatility-clustering,3,hard,jagged,connected,high,none
challenge,budget_22_broad_high_cond,crescent,0,hard,smooth,connected,high,none
challenge,budget_22_broad_high_cond,crescent,1,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_22_broad_high_cond,crescent,2,hard,smooth,connected,high,structured_dropout
challenge,budget_22_broad_high_cond,crescent,3,hard,smooth,connected,high,clustered_occlusion
challenge,budget_22_broad_high_cond,double-loop,0,hard,smooth,connected,high,clustered_occlusion
challenge,budget_22_broad_high_cond,double-loop,1,hard,smooth,connected,high,none
challenge,budget_22_broad_high_cond,double-loop,2,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_22_broad_high_cond,double-loop,3,hard,smooth,connected,high,structured_dropout
challenge,budget_22_broad_high_cond,cross-branch,0,hard,jagged,connected,high,none
challenge,budget_22_broad_high_cond,cross-branch,1,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_22_broad_high_cond,cross-branch,2,hard,jagged,connected,high,structured_dropout
challenge,budget_22_broad_high_cond,cross-branch,3,hard,jagged,connected,high,clustered_occlusion
challenge,budget_15_vertical_strip,nested-rings,0,hard,smooth,connected,high,none
challenge,budget_15_vertical_strip,nested-rings,1,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_15_vertical_strip,nested-rings,2,hard,smooth,connected,high,structured_dropout
challenge,budget_15_vertical_strip,nested-rings,3,hard,smooth,connected,high,clustered_occlusion
challenge,budget_15_vertical_strip,multi-hole,0,hard,smooth,connected,high,structured_dropout
challenge,budget_15_vertical_strip,multi-hole,1,hard,smooth,connected,high,clustered_occlusion
challenge,budget_15_vertical_strip,multi-hole,2,hard,smooth,connected,high,none
challenge,budget_15_vertical_strip,multi-hole,3,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_15_vertical_strip,pinwheel,0,hard,jagged,connected,high,none
challenge,budget_15_vertical_strip,pinwheel,1,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_15_vertical_strip,pinwheel,2,hard,jagged,connected,high,structured_dropout
challenge,budget_15_vertical_strip,pinwheel,3,hard,jagged,connected,high,clustered_occlusion
challenge,budget_15_vertical_strip,spiral,0,hard,smooth,connected,high,structured_dropout
challenge,budget_15_vertical_strip,spiral,1,hard,smooth,connected,high,clustered_occlusion
challenge,budget_15_vertical_strip,spiral,2,hard,smooth,connected,high,none
challenge,budget_15_vertical_strip,spiral,3,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_15_vertical_strip,barbell-bridge,0,hard,jagged,connected,high,structured_dropout
challenge,budget_15_vertical_strip,barbell-bridge,1,hard,jagged,connected,high,clustered_occlusion
challenge,budget_15_vertical_strip,barbell-bridge,2,hard,jagged,connected,high,none
challenge,budget_15_vertical_strip,barbell-bridge,3,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_15_vertical_strip,mean-reversion,0,hard,jagged,connected,high,structured_dropout
challenge,budget_15_vertical_strip,mean-reversion,1,hard,jagged,connected,high,clustered_occlusion
challenge,budget_15_vertical_strip,mean-reversion,2,hard,jagged,connected,high,none
challenge,budget_15_vertical_strip,mean-reversion,3,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_15_vertical_strip,volatility-clustering,0,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_15_vertical_strip,volatility-clustering,1,hard,jagged,connected,high,structured_dropout
challenge,budget_15_vertical_strip,volatility-clustering,2,hard,jagged,connected,high,clustered_occlusion
challenge,budget_15_vertical_strip,volatility-clustering,3,hard,jagged,connected,high,none
challenge,budget_15_vertical_strip,crescent,0,hard,smooth,connected,high,none
challenge,budget_15_vertical_strip,crescent,1,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_15_vertical_strip,crescent,2,hard,smooth,connected,high,structured_dropout
challenge,budget_15_vertical_strip,crescent,3,hard,smooth,connected,high,clustered_occlusion
challenge,budget_15_vertical_strip,double-loop,0,hard,smooth,connected,high,clustered_occlusion
challenge,budget_15_vertical_strip,double-loop,1,hard,smooth,connected,high,none
challenge,budget_15_vertical_strip,double-loop,2,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_15_vertical_strip,double-loop,3,hard,smooth,connected,high,structured_dropout
challenge,budget_15_vertical_strip,cross-branch,0,hard,jagged,connected,high,none
challenge,budget_15_vertical_strip,cross-branch,1,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_15_vertical_strip,cross-branch,2,hard,jagged,connected,high,structured_dropout
challenge,budget_15_vertical_strip,cross-branch,3,hard,jagged,connected,high,clustered_occlusion
challenge,budget_06_thin_strip,nested-rings,0,hard,smooth,connected,high,none
challenge,budget_06_thin_strip,nested-rings,1,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_06_thin_strip,nested-rings,2,hard,smooth,connected,high,structured_dropout
challenge,budget_06_thin_strip,nested-rings,3,hard,smooth,connected,high,clustered_occlusion
challenge,budget_06_thin_strip,multi-hole,0,hard,smooth,connected,high,structured_dropout
challenge,budget_06_thin_strip,multi-hole,1,hard,smooth,connected,high,clustered_occlusion
challenge,budget_06_thin_strip,multi-hole,2,hard,smooth,connected,high,none
challenge,budget_06_thin_strip,multi-hole,3,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_06_thin_strip,pinwheel,0,hard,jagged,connected,high,none
challenge,budget_06_thin_strip,pinwheel,1,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_06_thin_strip,pinwheel,2,hard,jagged,connected,high,structured_dropout
challenge,budget_06_thin_strip,pinwheel,3,hard,jagged,connected,high,clustered_occlusion
challenge,budget_06_thin_strip,spiral,0,hard,smooth,connected,high,structured_dropout
challenge,budget_06_thin_strip,spiral,1,hard,smooth,connected,high,clustered_occlusion
challenge,budget_06_thin_strip,spiral,2,hard,smooth,connected,high,none
challenge,budget_06_thin_strip,spiral,3,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_06_thin_strip,barbell-bridge,0,hard,jagged,connected,high,structured_dropout
challenge,budget_06_thin_strip,barbell-bridge,1,hard,jagged,connected,high,clustered_occlusion
challenge,budget_06_thin_strip,barbell-bridge,2,hard,jagged,connected,high,none
challenge,budget_06_thin_strip,barbell-bridge,3,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_06_thin_strip,mean-reversion,0,hard,jagged,connected,high,structured_dropout
challenge,budget_06_thin_strip,mean-reversion,1,hard,jagged,connected,high,clustered_occlusion
challenge,budget_06_thin_strip,mean-reversion,2,hard,jagged,connected,high,none
challenge,budget_06_thin_strip,mean-reversion,3,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_06_thin_strip,volatility-clustering,0,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_06_thin_strip,volatility-clustering,1,hard,jagged,connected,high,structured_dropout
challenge,budget_06_thin_strip,volatility-clustering,2,hard,jagged,connected,high,clustered_occlusion
challenge,budget_06_thin_strip,volatility-clustering,3,hard,jagged,connected,high,none
challenge,budget_06_thin_strip,crescent,0,hard,smooth,connected,high,none
challenge,budget_06_thin_strip,crescent,1,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_06_thin_strip,crescent,2,hard,smooth,connected,high,structured_dropout
challenge,budget_06_thin_strip,crescent,3,hard,smooth,connected,high,clustered_occlusion
challenge,budget_06_thin_strip,double-loop,0,hard,smooth,connected,high,clustered_occlusion
challenge,budget_06_thin_strip,double-loop,1,hard,smooth,connected,high,none
challenge,budget_06_thin_strip,double-loop,2,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_06_thin_strip,double-loop,3,hard,smooth,connected,high,structured_dropout
challenge,budget_06_thin_strip,cross-branch,0,hard,jagged,connected,high,none
challenge,budget_06_thin_strip,cross-branch,1,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_06_thin_strip,cross-branch,2,hard,jagged,connected,high,structured_dropout
challenge,budget_06_thin_strip,cross-branch,3,hard,jagged,connected,high,clustered_occlusion
challenge,budget_17_high_rot_aniso,nested-rings,0,hard,smooth,connected,high,none
challenge,budget_17_high_rot_aniso,nested-rings,1,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_17_high_rot_aniso,nested-rings,2,hard,smooth,connected,high,structured_dropout
challenge,budget_17_high_rot_aniso,nested-rings,3,hard,smooth,connected,high,clustered_occlusion
challenge,budget_17_high_rot_aniso,multi-hole,0,hard,smooth,connected,high,structured_dropout
challenge,budget_17_high_rot_aniso,multi-hole,1,hard,smooth,connected,high,clustered_occlusion
challenge,budget_17_high_rot_aniso,multi-hole,2,hard,smooth,connected,high,none
challenge,budget_17_high_rot_aniso,multi-hole,3,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_17_high_rot_aniso,pinwheel,0,hard,jagged,connected,high,none
challenge,budget_17_high_rot_aniso,pinwheel,1,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_17_high_rot_aniso,pinwheel,2,hard,jagged,connected,high,structured_dropout
challenge,budget_17_high_rot_aniso,pinwheel,3,hard,jagged,connected,high,clustered_occlusion
challenge,budget_17_high_rot_aniso,spiral,0,hard,smooth,connected,high,structured_dropout
challenge,budget_17_high_rot_aniso,spiral,1,hard,smooth,connected,high,clustered_occlusion
challenge,budget_17_high_rot_aniso,spiral,2,hard,smooth,connected,high,none
challenge,budget_17_high_rot_aniso,spiral,3,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_17_high_rot_aniso,barbell-bridge,0,hard,jagged,connected,high,structured_dropout
challenge,budget_17_high_rot_aniso,barbell-bridge,1,hard,jagged,connected,high,clustered_occlusion
challenge,budget_17_high_rot_aniso,barbell-bridge,2,hard,jagged,connected,high,none
challenge,budget_17_high_rot_aniso,barbell-bridge,3,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_17_high_rot_aniso,mean-reversion,0,hard,jagged,connected,high,structured_dropout
challenge,budget_17_high_rot_aniso,mean-reversion,1,hard,jagged,connected,high,clustered_occlusion
challenge,budget_17_high_rot_aniso,mean-reversion,2,hard,jagged,connected,high,none
challenge,budget_17_high_rot_aniso,mean-reversion,3,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_17_high_rot_aniso,volatility-clustering,0,hard,jagged,connected,high,moment_preserving_perturbation
challenge,budget_17_high_rot_aniso,volatility-clustering,1,hard,jagged,connected,high,structured_dropout
challenge,budget_17_high_rot_aniso,volatility-clustering,2,hard,jagged,connected,high,clustered_occlusion
challenge,budget_17_high_rot_aniso,volatility-clustering,3,hard,jagged,connected,high,none
challenge,budget_17_high_rot_aniso,crescent,0,hard,smooth,connected,high,none
challenge,budget_17_high_rot_aniso,crescent,1,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_17_high_rot_aniso,crescent,2,hard,smooth,connected,high,structured_dropout
challenge,budget_17_high_rot_aniso,crescent,3,hard,smooth,connected,high,clustered_occlusion
challenge,budget_17_high_rot_aniso,double-loop,0,hard,smooth,connected,high,clustered_occlusion
challenge,budget_17_high_rot_aniso,double-loop,1,hard,smooth,connected,high,none
challenge,budget_17_high_rot_aniso,double-loop,2,hard,smooth,connected,high,moment_preserving_perturbation
challenge,budget_17_high_rot_aniso,double-loop,3,hard,smooth,connected,high,structured_dropout
challenge,budget_17_high_rot_aniso,cross-branch,0,hard,jagged,connected,high,none
