lambda,cost_multiplier,winner,slice
0.004,1.26,raster,semi_real
0.004,1.27,raster,semi_real
0.004,1.28,raster,semi_real
0.004,1.29,raster,semi_real
0.004,1.3,raster,semi_real
0.004,1.31,raster,semi_real
0.004,1.3199999999999998,raster,semi_real
0.004,1.33,raster,semi_real
0.004,1.3399999999999999,raster,semi_real
0.004,1.35,raster,semi_real
0.004,1.3599999999999999,raster,semi_real
0.004,1.37,raster,semi_real
0.004,1.38,raster,semi_real
0.004,1.3900000000000001,raster,semi_real
0.004,1.4,raster,semi_real
0.004,1.4100000000000001,raster,semi_real
0.004,1.42,raster,semi_real
0.004,1.4300000000000002,raster,semi_real
0.004,1.44,raster,semi_real
0.004,1.45,raster,semi_real
0.004,1.46,raster,semi_real
0.004,1.47,raster,semi_real
0.004,1.48,raster,semi_real
0.004,1.49,raster,semi_real
0.004,1.5,raster,semi_real
0.004,1.51,raster,semi_real
0.004,1.52,raster,semi_real
0.004,1.53,raster,semi_real
0.004,1.54,raster,semi_real
0.004,1.55,raster,semi_real
0.004,1.56,raster,semi_real
0.004,1.5699999999999998,raster,semi_real
0.004,1.58,raster,semi_real
0.004,1.5899999999999999,raster,semi_real
0.004,1.6,raster,semi_real
0.006,0.6,raster,semi_real
0.006,0.61,raster,semi_real
0.006,0.62,raster,semi_real
0.006,0.63,raster,semi_real
0.006,0.64,raster,semi_real
0.006,0.65,raster,semi_real
0.006,0.6599999999999999,raster,semi_real
0.006,0.6699999999999999,raster,semi_real
0.006,0.6799999999999999,raster,semi_real
0.006,0.69,raster,semi_real
0.006,0.7,raster,semi_real
0.006,0.71,raster,semi_real
0.006,0.72,raster,semi_real
0.006,0.73,raster,semi_real
0.006,0.74,raster,semi_real
0.006,0.75,raster,semi_real
0.006,0.76,raster,semi_real
0.006,0.77,raster,semi_real
0.006,0.78,raster,semi_real
0.006,0.79,raster,semi_real
0.006,0.8,raster,semi_real
0.006,0.8099999999999999,raster,semi_real
0.006,0.82,raster,semi_real
0.006,0.83,raster,semi_real
0.006,0.84,raster,semi_real
0.006,0.85,raster,semi_real
0.006,0.86,raster,semi_real
0.006,0.87,raster,semi_real
0.006,0.88,raster,semi_real
0.006,0.8899999999999999,raster,semi_real
0.006,0.8999999999999999,raster,semi_real
0.006,0.9099999999999999,raster,semi_real
0.006,0.9199999999999999,raster,semi_real
0.006,0.9299999999999999,raster,semi_real
0.006,0.94,raster,semi_real
0.006,0.95,raster,semi_real
0.006,0.96,raster,semi_real
0.006,0.97,raster,semi_real
0.006,0.98,raster,semi_real
0.006,0.99,raster,semi_real
0.006,1.0,raster,semi_real
0.006,1.01,raster,semi_real
0.006,1.02,raster,semi_real
0.006,1.03,raster,semi_real
0.006,1.04,raster,semi_real
0.006,1.05,raster,semi_real
0.006,1.06,raster,semi_real
0.006,1.07,raster,semi_real
0.006,1.08,raster,semi_real
0.006,1.0899999999999999,raster,semi_real
0.006,1.1,raster,semi_real
0.006,1.1099999999999999,raster,semi_real
0.006,1.12,raster,semi_real
0.006,1.13,raster,semi_real
0.006,1.1400000000000001,raster,semi_real
0.006,1.15,raster,semi_real
0.006,1.1600000000000001,raster,semi_real
0.006,1.17,raster,semi_real
0.006,1.18,raster,semi_real
0.006,1.19,raster,semi_real
0.006,1.2,raster,semi_real
0.006,1.21,raster,semi_real
0.006,1.22,raster,semi_real
0.006,1.23,raster,semi_real
0.006,1.24,raster,semi_real
0.006,1.25,raster,semi_real
0.006,1.26,raster,semi_real
0.006,1.27,raster,semi_real
0.006,1.28,raster,semi_real
0.006,1.29,raster,semi_real
0.006,1.3,raster,semi_real
0.006,1.31,raster,semi_real
0.006,1.3199999999999998,raster,semi_real
0.006,1.33,raster,semi_real
0.006,1.3399999999999999,raster,semi_real
0.006,1.35,raster,semi_real
0.006,1.3599999999999999,raster,semi_real
0.006,1.37,raster,semi_real
0.006,1.38,raster,semi_real
0.006,1.3900000000000001,raster,semi_real
0.006,1.4,raster,semi_real
0.006,1.4100000000000001,raster,semi_real
0.006,1.42,raster,semi_real
0.006,1.4300000000000002,raster,semi_real
0.006,1.44,raster,semi_real
0.006,1.45,raster,semi_real
0.006,1.46,raster,semi_real
0.006,1.47,raster,semi_real
0.006,1.48,raster,semi_real
0.006,1.49,raster,semi_real
0.006,1.5,raster,semi_real
0.006,1.51,raster,semi_real
0.006,1.52,raster,semi_real
0.006,1.53,raster,semi_real
0.006,1.54,raster,semi_real
0.006,1.55,raster,semi_real
0.006,1.56,raster,semi_real
0.006,1.5699999999999998,raster,semi_real
0.006,1.58,raster,semi_real
0.006,1.5899999999999999,raster,semi_real
0.006,1.6,raster,semi_real
0.008,0.6,raster,semi_real
0.008,0.61,raster,semi_real
0.008,0.62,raster,semi_real
0.008,0.63,raster,semi_real
0.008,0.64,raster,semi_real
0.008,0.65,raster,semi_real
0.008,0.6599999999999999,raster,semi_real
0.008,0.6699999999999999,raster,semi_real
0.008,0.6799999999999999,raster,semi_real
0.008,0.69,raster,semi_real
0.008,0.7,raster,semi_real
0.008,0.71,raster,semi_real
0.008,0.72,raster,semi_real
0.008,0.73,raster,semi_real
0.008,0.74,raster,semi_real
0.008,0.75,raster,semi_real
0.008,0.76,raster,semi_real
0.008,0.77,raster,semi_real
0.008,0.78,raster,semi_real
0.008,0.79,raster,semi_real
0.008,0.8,raster,semi_real
0.008,0.8099999999999999,raster,semi_real
0.008,0.82,raster,semi_real
0.008,0.83,raster,semi_real
0.008,0.84,raster,semi_real
0.008,0.85,raster,semi_real
0.008,0.86,raster,semi_real
0.008,0.87,raster,semi_real
0.008,0.88,raster,semi_real
0.008,0.8899999999999999,raster,semi_real
0.008,0.8999999999999999,raster,semi_real
0.008,0.9099999999999999,raster,semi_real
0.008,0.9199999999999999,raster,semi_real
0.008,0.9299999999999999,raster,semi_real
0.008,0.94,raster,semi_real
0.008,0.95,raster,semi_real
0.008,0.96,raster,semi_real
0.008,0.97,raster,semi_real
0.008,0.98,raster,semi_real
0.008,0.99,raster,semi_real
0.008,1.0,raster,semi_real
0.008,1.01,raster,semi_real
0.008,1.02,raster,semi_real
0.008,1.03,raster,semi_real
0.008,1.04,raster,semi_real
0.008,1.05,raster,semi_real
0.008,1.06,raster,semi_real
0.008,1.07,raster,semi_real
0.008,1.08,raster,semi_real
0.008,1.0899999999999999,raster,semi_real
0.008,1.1,raster,semi_real
0.008,1.1099999999999999,raster,semi_real
0.008,1.12,raster,semi_real
0.008,1.13,raster,semi_real
0.008,1.1400000000000001,raster,semi_real
0.008,1.15,raster,semi_real
0.008,1.1600000000000001,raster,semi_real
0.008,1.17,raster,semi_real
0.008,1.18,raster,semi_real
0.008,1.19,raster,semi_real
0.008,1.2,raster,semi_real
0.008,1.21,raster,semi_real
0.008,1.22,raster,semi_real
0.008,1.23,raster,semi_real
0.008,1.24,raster,semi_real
0.008,1.25,raster,semi_real
0.008,1.26,raster,semi_real
0.008,1.27,raster,semi_real
0.008,1.28,raster,semi_real
0.008,1.29,raster,semi_real
0.008,1.3,raster,semi_real
0.008,1.31,raster,semi_real
0.008,1.3199999999999998,raster,semi_real
0.008,1.33,raster,semi_real
0.008,1.3399999999999999,raster,semi_real
0.008,1.35,raster,semi_real
0.008,1.3599999999999999,raster,semi_real
0.008,1.37,raster,semi_real
0.008,1.38,raster,semi_real
0.008,1.3900000000000001,raster,semi_real
0.008,1.4,raster,semi_real
0.008,1.4100000000000001,raster,semi_real
0.008,1.42,raster,semi_real
0.008,1.4300000000000002,raster,semi_real
0.008,1.44,raster,semi_real
0.008,1.45,raster,semi_real
0.008,1.46,raster,semi_real
0.008,1.47,raster,semi_real
0.008,1.48,raster,semi_real
0.008,1.49,raster,semi_real
0.008,1.5,raster,semi_real
0.008,1.51,raster,semi_real
0.008,1.52,raster,semi_real
0.008,1.53,raster,semi_real
0.008,1.54,raster,semi_real
0.008,1.55,raster,semi_real
0.008,1.56,raster,semi_real
0.008,1.5699999999999998,raster,semi_real
0.008,1.58,raster,semi_real
0.008,1.5899999999999999,raster,semi_real
0.008,1.6,raster,semi_real
0.01,0.6,raster,semi_real
0.01,0.61,raster,semi_real
0.01,0.62,raster,semi_real
0.01,0.63,raster,semi_real
0.01,0.64,raster,semi_real
0.01,0.65,raster,semi_real
0.01,0.6599999999999999,raster,semi_real
0.01,0.6699999999999999,raster,semi_real
0.01,0.6799999999999999,raster,semi_real
0.01,0.69,raster,semi_real
0.01,0.7,raster,semi_real
0.01,0.71,raster,semi_real
0.01,0.72,raster,semi_real
0.01,0.73,raster,semi_real
0.01,0.74,raster,semi_real
0.01,0.75,raster,semi_real
0.01,0.76,raster,semi_real
0.01,0.77,raster,semi_real
0.01,0.78,raster,semi_real
0.01,0.79,raster,semi_real
0.01,0.8,raster,semi_real
0.01,0.8099999999999999,raster,semi_real
0.01,0.82,raster,semi_real
0.01,0.83,raster,semi_real
0.01,0.84,raster,semi_real
0.01,0.85,raster,semi_real
0.01,0.86,raster,semi_real
0.01,0.87,raster,semi_real
0.01,0.88,raster,semi_real
0.01,0.8899999999999999,raster,semi_real
0.01,0.8999999999999999,raster,semi_real
0.01,0.9099999999999999,raster,semi_real
0.01,0.9199999999999999,raster,semi_real
0.01,0.9299999999999999,raster,semi_real
0.01,0.94,raster,semi_real
0.01,0.95,raster,semi_real
0.01,0.96,raster,semi_real
0.01,0.97,raster,semi_real
0.01,0.98,raster,semi_real
0.01,0.99,raster,semi_real
0.01,1.0,raster,semi_real
0.01,1.01,raster,semi_real
0.01,1.02,raster,semi_real
0.01,1.03,raster,semi_real
0.01,1.04,raster,semi_real
0.01,1.05,raster,semi_real
0.01,1.06,raster,semi_real
0.01,1.07,raster,semi_real
0.01,1.08,raster,semi_real
0.01,1.0899999999999999,raster,semi_real
0.01,1.1,raster,semi_real
0.01,1.1099999999999999,raster,semi_real
0.01,1.12,raster,semi_real
0.01,1.13,raster,semi_real
0.01,1.1400000000000001,raster,semi_real
0.01,1.15,raster,semi_real
0.01,1.1600000000000001,raster,semi_real
0.01,1.17,raster,semi_real
0.01,1.18,raster,semi_real
0.01,1.19,raster,semi_real
0.01,1.2,raster,semi_real
0.01,1.21,raster,semi_real
0.01,1.22,raster,semi_real
0.01,1.23,raster,semi_real
0.01,1.24,raster,semi_real
0.01,1.25,raster,semi_real
0.01,1.26,raster,semi_real
0.01,1.27,raster,semi_real
0.01,1.28,raster,semi_real
0.01,1.29,raster,semi_real
0.01,1.3,raster,semi_real
0.01,1.31,raster,semi_real
0.01,1.3199999999999998,raster,semi_real
0.01,1.33,raster,semi_real
0.01,1.3399999999999999,raster,semi_real
0.01,1.35,raster,semi_real
0.01,1.3599999999999999,raster,semi_real
0.01,1.37,raster,semi_real
0.01,1.38,raster,semi_real
0.01,1.3900000000000001,raster,semi_real
0.01,1.4,raster,semi_real
0.01,1.4100000000000001,raster,semi_real
0.01,1.42,raster,semi_real
0.01,1.4300000000000002,raster,semi_real
0.01,1.44,raster,semi_real
0.01,1.45,raster,semi_real
0.01,1.46,raster,semi_real
0.01,1.47,raster,semi_real
0.01,1.48,raster,semi_real
0.01,1.49,raster,semi_real
0.01,1.5,raster,semi_real
0.01,1.51,raster,semi_real
0.01,1.52,raster,semi_real
0.01,1.53,raster,semi_real
0.01,1.54,raster,semi_real
0.01,1.55,raster,semi_real
0.01,1.56,raster,semi_real
0.01,1.5699999999999998,raster,semi_real
0.01,1.58,raster,semi_real
0.01,1.5899999999999999,raster,semi_real
0.01,1.6,raster,semi_real
0.012,0.6,raster,semi_real
0.012,0.61,raster,semi_real
0.012,0.62,raster,semi_real
0.012,0.63,raster,semi_real
0.012,0.64,raster,semi_real
0.012,0.65,raster,semi_real
0.012,0.6599999999999999,raster,semi_real
0.012,0.6699999999999999,raster,semi_real
0.012,0.6799999999999999,raster,semi_real
0.012,0.69,raster,semi_real
0.012,0.7,raster,semi_real
0.012,0.71,raster,semi_real
0.012,0.72,raster,semi_real
0.012,0.73,raster,semi_real
0.012,0.74,raster,semi_real
0.012,0.75,raster,semi_real
0.012,0.76,raster,semi_real
0.012,0.77,raster,semi_real
0.012,0.78,raster,semi_real
0.012,0.79,raster,semi_real
0.012,0.8,raster,semi_real
0.012,0.8099999999999999,raster,semi_real
0.012,0.82,raster,semi_real
0.012,0.83,raster,semi_real
0.012,0.84,raster,semi_real
0.012,0.85,raster,semi_real
0.012,0.86,raster,semi_real
0.012,0.87,raster,semi_real
0.012,0.88,raster,semi_real
0.012,0.8899999999999999,raster,semi_real
0.012,0.8999999999999999,raster,semi_real
0.012,0.9099999999999999,raster,semi_real
0.012,0.9199999999999999,raster,semi_real
0.012,0.9299999999999999,raster,semi_real
0.012,0.94,raster,semi_real
0.012,0.95,raster,semi_real
0.012,0.96,raster,semi_real
0.012,0.97,raster,semi_real
0.012,0.98,raster,semi_real
0.012,0.99,raster,semi_real
0.012,1.0,raster,semi_real
0.012,1.01,raster,semi_real
0.012,1.02,raster,semi_real
0.012,1.03,raster,semi_real
0.012,1.04,raster,semi_real
0.012,1.05,raster,semi_real
0.012,1.06,raster,semi_real
0.012,1.07,raster,semi_real
0.012,1.08,raster,semi_real
0.012,1.0899999999999999,raster,semi_real
0.012,1.1,raster,semi_real
0.012,1.1099999999999999,raster,semi_real
0.012,1.12,raster,semi_real
0.012,1.13,raster,semi_real
0.012,1.1400000000000001,raster,semi_real
0.012,1.15,raster,semi_real
0.012,1.1600000000000001,raster,semi_real
0.012,1.17,raster,semi_real
0.012,1.18,raster,semi_real
0.012,1.19,raster,semi_real
0.012,1.2,raster,semi_real
0.012,1.21,raster,semi_real
0.012,1.22,raster,semi_real
0.012,1.23,raster,semi_real
0.012,1.24,raster,semi_real
0.012,1.25,raster,semi_real
0.012,1.26,raster,semi_real
0.012,1.27,raster,semi_real
0.012,1.28,raster,semi_real
0.012,1.29,raster,semi_real
0.012,1.3,raster,semi_real
0.012,1.31,raster,semi_real
0.012,1.3199999999999998,raster,semi_real
0.012,1.33,raster,semi_real
0.012,1.3399999999999999,raster,semi_real
0.012,1.35,raster,semi_real
0.012,1.3599999999999999,raster,semi_real
0.012,1.37,raster,semi_real
0.012,1.38,raster,semi_real
0.012,1.3900000000000001,raster,semi_real
0.012,1.4,raster,semi_real
0.012,1.4100000000000001,raster,semi_real
0.012,1.42,raster,semi_real
0.012,1.4300000000000002,raster,semi_real
0.012,1.44,raster,semi_real
0.012,1.45,raster,semi_real
0.012,1.46,raster,semi_real
0.012,1.47,raster,semi_real
0.012,1.48,raster,semi_real
0.012,1.49,raster,semi_real
0.012,1.5,raster,semi_real
0.012,1.51,raster,semi_real
0.012,1.52,raster,semi_real
0.012,1.53,raster,semi_real
0.012,1.54,raster,semi_real
0.012,1.55,raster,semi_real
0.012,1.56,raster,semi_real
0.012,1.5699999999999998,raster,semi_real
0.012,1.58,raster,semi_real
0.012,1.5899999999999999,raster,semi_real
0.012,1.6,raster,semi_real
0.014,0.6,raster,semi_real
0.014,0.61,raster,semi_real
0.014,0.62,raster,semi_real
0.014,0.63,raster,semi_real
0.014,0.64,raster,semi_real
0.014,0.65,raster,semi_real
0.014,0.6599999999999999,raster,semi_real
0.014,0.6699999999999999,raster,semi_real
0.014,0.6799999999999999,raster,semi_real
0.014,0.69,raster,semi_real
0.014,0.7,raster,semi_real
0.014,0.71,raster,semi_real
0.014,0.72,raster,semi_real
0.014,0.73,raster,semi_real
0.014,0.74,raster,semi_real
0.014,0.75,raster,semi_real
0.014,0.76,raster,semi_real
0.014,0.77,raster,semi_real
0.014,0.78,raster,semi_real
0.014,0.79,raster,semi_real
0.014,0.8,raster,semi_real
0.014,0.8099999999999999,raster,semi_real
0.014,0.82,raster,semi_real
0.014,0.83,raster,semi_real
0.014,0.84,raster,semi_real
0.014,0.85,raster,semi_real
0.014,0.86,raster,semi_real
0.014,0.87,raster,semi_real
0.014,0.88,raster,semi_real
0.014,0.8899999999999999,raster,semi_real
0.014,0.8999999999999999,raster,semi_real
0.014,0.9099999999999999,raster,semi_real
0.014,0.9199999999999999,raster,semi_real
0.014,0.9299999999999999,raster,semi_real
0.014,0.94,raster,semi_real
0.014,0.95,raster,semi_real
0.014,0.96,raster,semi_real
0.014,0.97,raster,semi_real
0.014,0.98,raster,semi_real
0.014,0.99,raster,semi_real
0.014,1.0,raster,semi_real
0.014,1.01,raster,semi_real
0.014,1.02,raster,semi_real
0.014,1.03,raster,semi_real
0.014,1.04,raster,semi_real
0.014,1.05,raster,semi_real
0.014,1.06,raster,semi_real
0.014,1.07,raster,semi_real
0.014,1.08,raster,semi_real
0.014,1.0899999999999999,raster,semi_real
0.014,1.1,raster,semi_real
0.014,1.1099999999999999,raster,semi_real
0.014,1.12,raster,semi_real
0.014,1.13,raster,semi_real
0.014,1.1400000000000001,raster,semi_real
0.014,1.15,raster,semi_real
0.014,1.1600000000000001,raster,semi_real
0.014,1.17,raster,semi_real
0.014,1.18,raster,semi_real
0.014,1.19,raster,semi_real
0.014,1.2,raster,semi_real
0.014,1.21,raster,semi_real
0.014,1.22,raster,semi_real
0.014,1.23,raster,semi_real
0.014,1.24,raster,semi_real
0.014,1.25,raster,semi_real
0.014,1.26,raster,semi_real
0.014,1.27,raster,semi_real
0.014,1.28,raster,semi_real
0.014,1.29,raster,semi_real
0.014,1.3,raster,semi_real
0.014,1.31,raster,semi_real
0.014,1.3199999999999998,raster,semi_real
0.014,1.33,raster,semi_real
0.014,1.3399999999999999,raster,semi_real
0.014,1.35,raster,semi_real
0.014,1.3599999999999999,raster,semi_real
0.014,1.37,raster,semi_real
0.014,1.38,raster,semi_real
0.014,1.3900000000000001,raster,semi_real
0.014,1.4,raster,semi_real
0.014,1.4100000000000001,raster,semi_real
0.014,1.42,raster,semi_real
0.014,1.4300000000000002,raster,semi_real
0.014,1.44,raster,semi_real
0.014,1.45,raster,semi_real
0.014,1.46,raster,semi_real
0.014,1.47,raster,semi_real
0.014,1.48,raster,semi_real
0.014,1.49,raster,semi_real
0.014,1.5,raster,semi_real
0.014,1.51,raster,semi_real
0.014,1.52,raster,semi_real
0.014,1.53,raster,semi_real
0.014,1.54,raster,semi_real
0.014,1.55,raster,semi_real
0.014,1.56,raster,semi_real
0.014,1.5699999999999998,raster,semi_real
0.014,1.58,raster,semi_real
0.014,1.5899999999999999,raster,semi_real
0.014,1.6,raster,semi_real
0.016,0.6,raster,semi_real
0.016,0.61,raster,semi_real
0.016,0.62,raster,semi_real
0.016,0.63,raster,semi_real
0.016,0.64,raster,semi_real
0.016,0.65,raster,semi_real
0.016,0.6599999999999999,raster,semi_real
0.016,0.6699999999999999,raster,semi_real
0.016,0.6799999999999999,raster,semi_real
0.016,0.69,raster,semi_real
0.016,0.7,raster,semi_real
