probe_cell_id,budget,family,seed,phase_name,phase_requested_n,phase_selected_n,blind_norm_cd,blind_iou,collapse_score,access_value_gain
protocol_b:budget_24_rotated_slender:double-loop:seed0:n64,budget_24_rotated_slender,double-loop,0,ambiguity zone,10,10,0.2076177562564802,0.1628664495114006,0.8854874404700899,-0.0464
protocol_b:budget_24_rotated_slender:double-loop:seed1:n64,budget_24_rotated_slender,double-loop,1,ambiguity zone,10,10,0.0852255159104636,0.3862745098039216,0.8941205778464141,-0.0464
protocol_b:budget_24_rotated_slender:mean-reversion:seed2:n64,budget_24_rotated_slender,mean-reversion,2,ambiguity zone,10,10,0.1867844521900792,0.2532637075718015,0.8612113540856229,-0.0464
protocol_b:budget_06_thin_strip:mean-reversion:seed0:n64,budget_06_thin_strip,mean-reversion,0,decision-fragile zone,10,10,0.1167390791749592,0.2098765432098765,0.8755879957796372,-1.0464
protocol_b:budget_10_extreme:mean-reversion:seed0:n64,budget_10_extreme,mean-reversion,0,decision-fragile zone,10,10,0.1445686270710941,0.2264397905759162,0.9015108923768288,-1.0464
protocol_b:budget_10_extreme:mean-reversion:seed2:n64,budget_10_extreme,mean-reversion,2,decision-fragile zone,10,10,0.1535280437571051,0.2800546448087431,0.793698177161723,-1.0464
protocol_b:budget_10_extreme:mean-reversion:seed3:n64,budget_10_extreme,mean-reversion,3,decision-fragile zone,10,10,0.2224225916387625,0.1731008717310087,0.7248579339443558,-1.0464
protocol_b:budget_15_vertical_strip:barbell-bridge:seed2:n64,budget_15_vertical_strip,barbell-bridge,2,decision-fragile zone,10,10,0.1583276467038532,0.3200498132004981,0.7575608448538799,-1.0464
protocol_b:budget_22_broad_high_cond:double-loop:seed1:n64,budget_22_broad_high_cond,double-loop,1,decision-fragile zone,10,10,0.0696374527623183,0.4045643153526971,0.902002780661514,-1.0464
protocol_b:budget_22_broad_high_cond:mean-reversion:seed0:n64,budget_22_broad_high_cond,mean-reversion,0,decision-fragile zone,10,10,0.1184943495290344,0.2010376134889753,0.8941872952619453,-1.0464
protocol_b:budget_22_broad_high_cond:mean-reversion:seed3:n64,budget_22_broad_high_cond,mean-reversion,3,decision-fragile zone,10,10,0.2344474318754782,0.1503496503496503,0.7042550201196445,-1.0464
protocol_b:budget_23_small_high_cond:mean-reversion:seed1:n64,budget_23_small_high_cond,mean-reversion,1,decision-fragile zone,10,10,0.2111036443497647,0.1885625965996908,0.7959657407199182,-1.0464
protocol_b:budget_24_rotated_slender:volatility-clustering:seed1:n64,budget_24_rotated_slender,volatility-clustering,1,decision-fragile zone,10,10,0.1496985280725841,0.2885057471264368,0.8152462020780444,-1.0464
protocol_b:budget_17_high_rot_aniso:barbell-bridge:seed0:n64,budget_17_high_rot_aniso,barbell-bridge,0,information-limited zone,10,10,0.2388498021827313,0.1454965357967667,0.1778961695890185,-0.0464
protocol_b:budget_17_high_rot_aniso:barbell-bridge:seed3:n64,budget_17_high_rot_aniso,barbell-bridge,3,information-limited zone,10,10,0.239808296896898,0.1490765171503957,0.3869953692504595,0.9536
protocol_b:budget_18_neg_diag_extreme:barbell-bridge:seed2:n64,budget_18_neg_diag_extreme,barbell-bridge,2,information-limited zone,10,10,0.1281212863577988,0.3847583643122677,0.2642257401534535,-0.0464
protocol_b:budget_23_small_high_cond:barbell-bridge:seed0:n64,budget_23_small_high_cond,barbell-bridge,0,information-limited zone,10,10,0.5113534354418738,0.0764462809917355,0.3480479889992182,0.9536
protocol_b:budget_23_small_high_cond:barbell-bridge:seed1:n64,budget_23_small_high_cond,barbell-bridge,1,information-limited zone,10,10,0.2614635029742048,0.2216666666666666,0.2018016371892183,0.9536
protocol_b:budget_23_small_high_cond:barbell-bridge:seed2:n64,budget_23_small_high_cond,barbell-bridge,2,information-limited zone,10,10,0.1575078193815813,0.3634751773049645,0.2863564531819715,-0.0464
protocol_b:budget_23_small_high_cond:barbell-bridge:seed3:n64,budget_23_small_high_cond,barbell-bridge,3,information-limited zone,10,10,0.2192470195342951,0.1863799283154122,0.2459014012234465,0.9536
protocol_b:budget_24_rotated_slender:barbell-bridge:seed0:n64,budget_24_rotated_slender,barbell-bridge,0,information-limited zone,10,10,0.5304691119167605,0.0326086956521739,0.0,0.9536
protocol_b:budget_24_rotated_slender:barbell-bridge:seed2:n64,budget_24_rotated_slender,barbell-bridge,2,information-limited zone,10,10,0.1578575760877228,0.3258928571428571,0.4187251540528995,-0.0464
protocol_b:budget_24_rotated_slender:barbell-bridge:seed3:n64,budget_24_rotated_slender,barbell-bridge,3,information-limited zone,10,10,0.2236539500203335,0.1409495548961424,0.184859504766554,0.9536
