probe_cell_id,budget,family,seed,phase_name,method,valid_output,runtime_s,proxy_score,selected_alpha,norm_cd,iou,coverage,mean_linf_error,cov_linf_error,cov_fro_error,normalized_violation_severity,budget_violation
protocol_b:budget_10_extreme:mean-reversion:seed0:n64,budget_10_extreme,mean-reversion,0,decision-fragile zone,3-component GMM prior + exact projection,1,0.027984899992588907,0.47375743012799976,0.35,0.27419950430108864,0.16865869853917662,0.65625,1.0842021724855044e-17,4.440892098500626e-16,7.021666937153402e-16,4.440892098500626e-14,0
protocol_b:budget_10_extreme:mean-reversion:seed2:n64,budget_10_extreme,mean-reversion,2,decision-fragile zone,3-component GMM prior + exact projection,1,0.028827100002672523,0.47279215081398374,0.15,0.29982723896410296,0.12330623306233063,0.609375,7.112366251504909e-17,1.1102230246251565e-16,1.5700924586837752e-16,1.1102230246251565e-14,0
protocol_b:budget_10_extreme:mean-reversion:seed3:n64,budget_10_extreme,mean-reversion,3,decision-fragile zone,3-component GMM prior + exact projection,1,0.03413430000364315,0.5010493034440973,0.35,0.27521097431903807,0.13432835820895522,0.6875,3.165870343657673e-17,6.661338147750939e-16,7.691850745534255e-16,6.661338147750939e-14,0
protocol_b:budget_15_vertical_strip:barbell-bridge:seed2:n64,budget_15_vertical_strip,barbell-bridge,2,decision-fragile zone,3-component GMM prior + exact projection,1,0.022088199999416247,0.4848235916702792,0.35,0.3291421250139475,0.10033444816053512,0.546875,1.734723475976807e-18,4.440892098500626e-16,4.478323560587428e-16,4.440892098500626e-14,0
protocol_b:budget_22_broad_high_cond:double-loop:seed1:n64,budget_22_broad_high_cond,double-loop,1,decision-fragile zone,3-component GMM prior + exact projection,1,0.026344999991124496,0.5081335917551418,0.35,0.3135449391473524,0.030165912518853696,0.328125,4.163336342344337e-17,2.6645352591003757e-15,2.72570492780642e-15,2.6645352591003757e-13,0
protocol_b:budget_22_broad_high_cond:mean-reversion:seed0:n64,budget_22_broad_high_cond,mean-reversion,0,decision-fragile zone,3-component GMM prior + exact projection,1,0.024834600000758655,0.5063235922785919,0.35,0.3177541720542531,0.13237063778580024,0.625,2.42861286636753e-17,1.3322676295501878e-15,1.428266430710657e-15,1.3322676295501878e-13,0
protocol_b:budget_22_broad_high_cond:mean-reversion:seed3:n64,budget_22_broad_high_cond,mean-reversion,3,decision-fragile zone,3-component GMM prior + exact projection,1,0.032129300001543015,0.5372361783529351,0.35,0.3055316504581468,0.13277511961722488,0.546875,3.946495907847236e-17,1.3322676295501878e-15,1.594436429147036e-15,1.3322676295501878e-13,0
protocol_b:budget_23_small_high_cond:mean-reversion:seed1:n64,budget_23_small_high_cond,mean-reversion,1,decision-fragile zone,3-component GMM prior + exact projection,1,0.030040100013138726,0.5124335196851783,0.15,0.2749947348924061,0.10245901639344263,0.59375,3.2959746043559335e-17,6.661338147750939e-16,8.81212206892831e-16,6.661338147750939e-14,0
protocol_b:budget_24_rotated_slender:volatility-clustering:seed1:n64,budget_24_rotated_slender,volatility-clustering,1,decision-fragile zone,3-component GMM prior + exact projection,1,0.022899599993252195,0.5588825233957363,0.55,0.28411880708079373,0.11594202898550725,0.65625,4.195862407518902e-17,6.661338147750939e-16,8.044330061068549e-16,6.661338147750939e-14,0
protocol_b:budget_17_high_rot_aniso:barbell-bridge:seed0:n64,budget_17_high_rot_aniso,barbell-bridge,0,information-limited zone,3-component GMM prior + exact projection,1,0.0494953000015812,0.4288786096045509,0.35,0.32088094581040794,0.11504424778761062,0.5625,4.9439619065339e-17,2.7755575615628914e-16,4.644396126208125e-16,2.7755575615628914e-14,0
protocol_b:budget_17_high_rot_aniso:barbell-bridge:seed3:n64,budget_17_high_rot_aniso,barbell-bridge,3,information-limited zone,3-component GMM prior + exact projection,1,0.03456690000894014,0.48611773685272025,0.35,0.33932177134483654,0.08424908424908426,0.640625,3.8163916471489756e-17,1.1102230246251565e-15,1.3053975696292016e-15,1.1102230246251565e-13,0
protocol_b:budget_18_neg_diag_extreme:barbell-bridge:seed2:n64,budget_18_neg_diag_extreme,barbell-bridge,2,information-limited zone,3-component GMM prior + exact projection,1,0.018392199999652803,0.5363138371903726,0.55,0.2564702431362332,0.2,0.65625,1.3877787807814457e-17,2.220446049250313e-16,3.8459253727671276e-16,2.220446049250313e-14,0
protocol_b:budget_23_small_high_cond:barbell-bridge:seed0:n64,budget_23_small_high_cond,barbell-bridge,0,information-limited zone,3-component GMM prior + exact projection,1,0.02506359999824781,0.5167638073265541,0.35,0.2815348497402306,0.1691842900302115,0.5625,1.8756697583999227e-17,5.551115123125783e-16,5.661048867003676e-16,5.551115123125783e-14,0
protocol_b:budget_23_small_high_cond:barbell-bridge:seed1:n64,budget_23_small_high_cond,barbell-bridge,1,information-limited zone,3-component GMM prior + exact projection,1,0.019244099996285513,0.5398571974219123,0.15,0.35283084102965495,0.1253968253968254,0.375,2.7755575615628914e-17,5.551115123125783e-16,7.986663869107379e-16,5.551115123125783e-14,0
protocol_b:budget_23_small_high_cond:barbell-bridge:seed2:n64,budget_23_small_high_cond,barbell-bridge,2,information-limited zone,3-component GMM prior + exact projection,1,0.019777800000156276,0.4844720072217573,0.35,0.28000670023912644,0.13023952095808383,0.671875,3.642919299551295e-17,4.440892098500626e-16,4.54378355600607e-16,4.440892098500626e-14,0
protocol_b:budget_23_small_high_cond:barbell-bridge:seed3:n64,budget_23_small_high_cond,barbell-bridge,3,information-limited zone,3-component GMM prior + exact projection,1,0.021761700001661666,0.5870449417145728,0.15,0.3537569025628883,0.09379968203497616,0.328125,3.2634485391813683e-17,3.3306690738754696e-16,5.324442579404919e-16,3.3306690738754696e-14,0
protocol_b:budget_24_rotated_slender:barbell-bridge:seed0:n64,budget_24_rotated_slender,barbell-bridge,0,information-limited zone,3-component GMM prior + exact projection,1,0.018783599996822886,0.4828907055169677,0.15,0.3707527519409174,0.08,0.296875,8.998878031629687e-18,4.440892098500626e-16,5.9529077749218605e-16,4.440892098500626e-14,0
protocol_b:budget_24_rotated_slender:barbell-bridge:seed2:n64,budget_24_rotated_slender,barbell-bridge,2,information-limited zone,3-component GMM prior + exact projection,1,0.03216469999460969,0.43969935972265817,0.15,0.31602834763455656,0.11048158640226628,0.546875,4.163336342344337e-17,2.7755575615628914e-16,3.640109616122045e-16,2.7755575615628914e-14,0
protocol_b:budget_24_rotated_slender:barbell-bridge:seed3:n64,budget_24_rotated_slender,barbell-bridge,3,information-limited zone,3-component GMM prior + exact projection,1,0.022079100002883933,0.4415015256661097,0.35,0.2954634359226628,0.10190217391304347,0.640625,2.0816681711721685e-17,8.881784197001252e-16,9.171947447016606e-16,8.881784197001252e-14,0
