representation,query_index,neighbor_rank,distance,query_budget,query_family,query_seed,neighbor_budget,neighbor_family,neighbor_seed,action_disagree,view_disagree,family_disagree,phase_disagree
Base summary,6,6,1.6319117138143358e-07,budget_06_thin_strip,crescent,2,budget_06_thin_strip,cross-branch,2,1.0,1.0,1.0,1.0
Base summary,6,7,1.6772678297937116e-07,budget_06_thin_strip,crescent,2,budget_06_thin_strip,cross-branch,0,1.0,1.0,1.0,1.0
Base summary,6,8,1.7245496148445854e-07,budget_06_thin_strip,crescent,2,budget_06_thin_strip,volatility-clustering,0,1.0,1.0,1.0,1.0
Base summary,6,9,1.739847005320628e-07,budget_06_thin_strip,crescent,2,budget_06_thin_strip,volatility-clustering,1,0.0,0.0,1.0,1.0
Base summary,6,10,1.81063130716966e-07,budget_06_thin_strip,crescent,2,budget_06_thin_strip,volatility-clustering,3,1.0,1.0,1.0,1.0
Base summary,7,1,1.0433546576639032e-08,budget_06_thin_strip,crescent,3,budget_06_thin_strip,crescent,0,0.0,0.0,0.0,1.0
Base summary,7,2,1.3932086758493609e-08,budget_06_thin_strip,crescent,3,budget_06_thin_strip,crescent,1,0.0,0.0,0.0,0.0
Base summary,7,3,2.1299765343273972e-08,budget_06_thin_strip,crescent,3,budget_06_thin_strip,crescent,2,0.0,0.0,0.0,1.0
Base summary,7,4,1.8242615937807722e-07,budget_06_thin_strip,crescent,3,budget_06_thin_strip,cross-branch,3,1.0,1.0,1.0,1.0
Base summary,7,5,1.8329044697154782e-07,budget_06_thin_strip,crescent,3,budget_06_thin_strip,cross-branch,1,1.0,1.0,1.0,1.0
Base summary,7,6,1.842708212127748e-07,budget_06_thin_strip,crescent,3,budget_06_thin_strip,cross-branch,2,1.0,1.0,1.0,1.0
Base summary,7,7,1.8878379191105433e-07,budget_06_thin_strip,crescent,3,budget_06_thin_strip,cross-branch,0,1.0,1.0,1.0,1.0
Base summary,7,8,1.9326353966666392e-07,budget_06_thin_strip,crescent,3,budget_06_thin_strip,volatility-clustering,0,1.0,1.0,1.0,0.0
Base summary,7,9,1.946321214112578e-07,budget_06_thin_strip,crescent,3,budget_06_thin_strip,volatility-clustering,1,0.0,0.0,1.0,1.0
Base summary,7,10,2.019666830385148e-07,budget_06_thin_strip,crescent,3,budget_06_thin_strip,volatility-clustering,3,1.0,1.0,1.0,1.0
Base summary,8,1,4.705062152105683e-09,budget_06_thin_strip,cross-branch,0,budget_06_thin_strip,cross-branch,2,0.0,0.0,0.0,0.0
Base summary,8,2,5.5937865927660046e-09,budget_06_thin_strip,cross-branch,0,budget_06_thin_strip,cross-branch,1,1.0,0.0,0.0,0.0
Base summary,8,3,6.404100997797005e-09,budget_06_thin_strip,cross-branch,0,budget_06_thin_strip,cross-branch,3,1.0,0.0,0.0,0.0
Base summary,8,4,1.7890854103871287e-08,budget_06_thin_strip,cross-branch,0,budget_06_thin_strip,pinwheel,1,1.0,0.0,1.0,1.0
Base summary,8,5,1.8160651299787735e-08,budget_06_thin_strip,cross-branch,0,budget_06_thin_strip,pinwheel,0,1.0,0.0,1.0,1.0
Base summary,8,6,1.8621224778209198e-08,budget_06_thin_strip,cross-branch,0,budget_06_thin_strip,pinwheel,3,1.0,0.0,1.0,1.0
Base summary,8,7,2.0776183628199787e-08,budget_06_thin_strip,cross-branch,0,budget_06_thin_strip,spiral,1,1.0,0.0,1.0,1.0
Base summary,8,8,2.1707798560402338e-08,budget_06_thin_strip,cross-branch,0,budget_06_thin_strip,pinwheel,2,1.0,0.0,1.0,1.0
Base summary,8,9,2.19140345920904e-08,budget_06_thin_strip,cross-branch,0,budget_06_thin_strip,volatility-clustering,0,1.0,0.0,1.0,1.0
Base summary,8,10,2.316703138160092e-08,budget_06_thin_strip,cross-branch,0,budget_06_thin_strip,volatility-clustering,2,1.0,0.0,1.0,1.0
Base summary,9,1,1.7201353663376015e-09,budget_06_thin_strip,cross-branch,1,budget_06_thin_strip,cross-branch,3,1.0,0.0,0.0,0.0
Base summary,9,2,2.403955171406281e-09,budget_06_thin_strip,cross-branch,1,budget_06_thin_strip,cross-branch,2,1.0,0.0,0.0,0.0
Base summary,9,3,5.5937865927660046e-09,budget_06_thin_strip,cross-branch,1,budget_06_thin_strip,cross-branch,0,1.0,0.0,0.0,0.0
Base summary,9,4,2.2666404711019026e-08,budget_06_thin_strip,cross-branch,1,budget_06_thin_strip,volatility-clustering,0,0.0,0.0,1.0,1.0
Base summary,9,5,2.336177892917054e-08,budget_06_thin_strip,cross-branch,1,budget_06_thin_strip,pinwheel,1,0.0,0.0,1.0,1.0
Base summary,9,6,2.3536624344189482e-08,budget_06_thin_strip,cross-branch,1,budget_06_thin_strip,pinwheel,0,0.0,0.0,1.0,1.0
Base summary,9,7,2.4075090670998803e-08,budget_06_thin_strip,cross-branch,1,budget_06_thin_strip,pinwheel,3,0.0,0.0,1.0,1.0
Base summary,9,8,2.6340955735170606e-08,budget_06_thin_strip,cross-branch,1,budget_06_thin_strip,spiral,1,0.0,0.0,1.0,1.0
Base summary,9,9,2.6402554528585026e-08,budget_06_thin_strip,cross-branch,1,budget_06_thin_strip,volatility-clustering,3,0.0,0.0,1.0,1.0
Base summary,9,10,2.718537749348482e-08,budget_06_thin_strip,cross-branch,1,budget_06_thin_strip,pinwheel,2,0.0,0.0,1.0,1.0
Base summary,10,1,2.403955171406281e-09,budget_06_thin_strip,cross-branch,2,budget_06_thin_strip,cross-branch,1,1.0,0.0,0.0,0.0
Base summary,10,2,2.5360163361854296e-09,budget_06_thin_strip,cross-branch,2,budget_06_thin_strip,cross-branch,3,1.0,0.0,0.0,0.0
Base summary,10,3,4.705062152105683e-09,budget_06_thin_strip,cross-branch,2,budget_06_thin_strip,cross-branch,0,0.0,0.0,0.0,0.0
Base summary,10,4,2.2066031527574174e-08,budget_06_thin_strip,cross-branch,2,budget_06_thin_strip,pinwheel,1,1.0,0.0,1.0,1.0
Base summary,10,5,2.2142656585589827e-08,budget_06_thin_strip,cross-branch,2,budget_06_thin_strip,pinwheel,0,1.0,0.0,1.0,1.0
Base summary,10,6,2.2785588283410025e-08,budget_06_thin_strip,cross-branch,2,budget_06_thin_strip,pinwheel,3,1.0,0.0,1.0,1.0
Base summary,10,7,2.3181152903994963e-08,budget_06_thin_strip,cross-branch,2,budget_06_thin_strip,volatility-clustering,0,1.0,0.0,1.0,1.0
Base summary,10,8,2.5268494220322743e-08,budget_06_thin_strip,cross-branch,2,budget_06_thin_strip,spiral,1,1.0,0.0,1.0,1.0
Base summary,10,9,2.598393964015217e-08,budget_06_thin_strip,cross-branch,2,budget_06_thin_strip,pinwheel,2,1.0,0.0,1.0,1.0
Base summary,10,10,2.622091518154401e-08,budget_06_thin_strip,cross-branch,2,budget_06_thin_strip,volatility-clustering,3,1.0,0.0,1.0,1.0
Base summary,11,1,1.7201353663376015e-09,budget_06_thin_strip,cross-branch,3,budget_06_thin_strip,cross-branch,1,1.0,0.0,0.0,0.0
Base summary,11,2,2.5360163361854296e-09,budget_06_thin_strip,cross-branch,3,budget_06_thin_strip,cross-branch,2,1.0,0.0,0.0,0.0
Base summary,11,3,6.404100997797005e-09,budget_06_thin_strip,cross-branch,3,budget_06_thin_strip,cross-branch,0,1.0,0.0,0.0,0.0
Base summary,11,4,2.375285476017803e-08,budget_06_thin_strip,cross-branch,3,budget_06_thin_strip,pinwheel,1,1.0,0.0,1.0,1.0
Base summary,11,5,2.3808210904864285e-08,budget_06_thin_strip,cross-branch,3,budget_06_thin_strip,pinwheel,0,1.0,0.0,1.0,1.0
Base summary,11,6,2.4327955052183357e-08,budget_06_thin_strip,cross-branch,3,budget_06_thin_strip,volatility-clustering,0,1.0,0.0,1.0,1.0
Base summary,11,7,2.4448104903328932e-08,budget_06_thin_strip,cross-branch,3,budget_06_thin_strip,pinwheel,3,1.0,0.0,1.0,1.0
Base summary,11,8,2.7032042558724356e-08,budget_06_thin_strip,cross-branch,3,budget_06_thin_strip,spiral,1,1.0,0.0,1.0,1.0
Base summary,11,9,2.7615754869425274e-08,budget_06_thin_strip,cross-branch,3,budget_06_thin_strip,pinwheel,2,1.0,0.0,1.0,1.0
Base summary,11,10,2.7992058853170414e-08,budget_06_thin_strip,cross-branch,3,budget_06_thin_strip,volatility-clustering,3,1.0,0.0,1.0,1.0
Base summary,12,1,9.447356734240185e-10,budget_06_thin_strip,double-loop,0,budget_06_thin_strip,double-loop,2,0.0,0.0,0.0,0.0
Base summary,12,2,2.2745977023450604e-09,budget_06_thin_strip,double-loop,0,budget_06_thin_strip,double-loop,1,1.0,0.0,0.0,1.0
Base summary,12,3,2.906237297215898e-09,budget_06_thin_strip,double-loop,0,budget_06_thin_strip,double-loop,3,1.0,0.0,0.0,1.0
Base summary,12,4,2.8940942611696723e-08,budget_06_thin_strip,double-loop,0,budget_06_thin_strip,volatility-clustering,2,0.0,0.0,1.0,0.0
Base summary,12,5,2.9165195026275726e-08,budget_06_thin_strip,double-loop,0,budget_06_thin_strip,spiral,3,1.0,1.0,1.0,0.0
Base summary,12,6,2.938524916668769e-08,budget_06_thin_strip,double-loop,0,budget_06_thin_strip,spiral,2,0.0,0.0,1.0,1.0
Base summary,12,7,2.985805916611792e-08,budget_06_thin_strip,double-loop,0,budget_06_thin_strip,nested-rings,1,0.0,0.0,1.0,0.0
Base summary,12,8,3.026243257662128e-08,budget_06_thin_strip,double-loop,0,budget_06_thin_strip,spiral,0,0.0,0.0,1.0,1.0
Base summary,12,9,3.054310948511964e-08,budget_06_thin_strip,double-loop,0,budget_06_thin_strip,multi-hole,3,1.0,1.0,1.0,0.0
Base summary,12,10,3.097721611746424e-08,budget_06_thin_strip,double-loop,0,budget_06_thin_strip,nested-rings,0,0.0,0.0,1.0,1.0
Base summary,13,1,2.2745977023450604e-09,budget_06_thin_strip,double-loop,1,budget_06_thin_strip,double-loop,0,1.0,0.0,0.0,1.0
Base summary,13,2,2.53778820039625e-09,budget_06_thin_strip,double-loop,1,budget_06_thin_strip,double-loop,3,0.0,0.0,0.0,1.0
Base summary,13,3,2.849982200152398e-09,budget_06_thin_strip,double-loop,1,budget_06_thin_strip,double-loop,2,1.0,0.0,0.0,1.0
Base summary,13,4,2.7133831473912786e-08,budget_06_thin_strip,double-loop,1,budget_06_thin_strip,volatility-clustering,2,1.0,0.0,1.0,1.0
Base summary,13,5,2.8637707874670333e-08,budget_06_thin_strip,double-loop,1,budget_06_thin_strip,spiral,3,1.0,1.0,1.0,1.0
Base summary,13,6,2.885193913331501e-08,budget_06_thin_strip,double-loop,1,budget_06_thin_strip,spiral,2,1.0,0.0,1.0,1.0
Base summary,13,7,2.9656993406661166e-08,budget_06_thin_strip,double-loop,1,budget_06_thin_strip,spiral,0,1.0,0.0,1.0,1.0
Base summary,13,8,3.040441693022158e-08,budget_06_thin_strip,double-loop,1,budget_06_thin_strip,multi-hole,3,1.0,1.0,1.0,1.0
Base summary,13,9,3.0849730909686844e-08,budget_06_thin_strip,double-loop,1,budget_06_thin_strip,nested-rings,1,1.0,0.0,1.0,1.0
Base summary,13,10,3.14073106458785e-08,budget_06_thin_strip,double-loop,1,budget_06_thin_strip,spiral,1,1.0,0.0,1.0,1.0
Base summary,14,1,9.447356734240185e-10,budget_06_thin_strip,double-loop,2,budget_06_thin_strip,double-loop,0,0.0,0.0,0.0,0.0
Base summary,14,2,2.849982200152398e-09,budget_06_thin_strip,double-loop,2,budget_06_thin_strip,double-loop,1,1.0,0.0,0.0,1.0
Base summary,14,3,3.6839189639264855e-09,budget_06_thin_strip,double-loop,2,budget_06_thin_strip,double-loop,3,1.0,0.0,0.0,1.0
Base summary,14,4,2.978511151651581e-08,budget_06_thin_strip,double-loop,2,budget_06_thin_strip,volatility-clustering,2,0.0,0.0,1.0,0.0
Base summary,14,5,3.008369839583044e-08,budget_06_thin_strip,double-loop,2,budget_06_thin_strip,spiral,3,1.0,1.0,1.0,0.0
Base summary,14,6,3.030611402485074e-08,budget_06_thin_strip,double-loop,2,budget_06_thin_strip,spiral,2,0.0,0.0,1.0,1.0
Base summary,14,7,3.043374684987098e-08,budget_06_thin_strip,double-loop,2,budget_06_thin_strip,nested-rings,1,0.0,0.0,1.0,0.0
Base summary,14,8,3.118265381301298e-08,budget_06_thin_strip,double-loop,2,budget_06_thin_strip,spiral,0,0.0,0.0,1.0,1.0
Base summary,14,9,3.141374388601988e-08,budget_06_thin_strip,double-loop,2,budget_06_thin_strip,multi-hole,3,1.0,1.0,1.0,0.0
Base summary,14,10,3.166531584972098e-08,budget_06_thin_strip,double-loop,2,budget_06_thin_strip,nested-rings,0,0.0,0.0,1.0,1.0
Base summary,15,1,2.53778820039625e-09,budget_06_thin_strip,double-loop,3,budget_06_thin_strip,double-loop,1,0.0,0.0,0.0,1.0
Base summary,15,2,2.906237297215898e-09,budget_06_thin_strip,double-loop,3,budget_06_thin_strip,double-loop,0,1.0,0.0,0.0,1.0
Base summary,15,3,3.6839189639264855e-09,budget_06_thin_strip,double-loop,3,budget_06_thin_strip,double-loop,2,1.0,0.0,0.0,1.0
Base summary,15,4,2.7006744182808778e-08,budget_06_thin_strip,double-loop,3,budget_06_thin_strip,volatility-clustering,2,1.0,0.0,1.0,1.0
Base summary,15,5,2.7350620153053463e-08,budget_06_thin_strip,double-loop,3,budget_06_thin_strip,spiral,3,1.0,1.0,1.0,1.0
Base summary,15,6,2.7497247165423083e-08,budget_06_thin_strip,double-loop,3,budget_06_thin_strip,spiral,2,1.0,0.0,1.0,1.0
Base summary,15,7,2.8513332794090247e-08,budget_06_thin_strip,double-loop,3,budget_06_thin_strip,spiral,0,1.0,0.0,1.0,1.0
Base summary,15,8,2.8908603016409533e-08,budget_06_thin_strip,double-loop,3,budget_06_thin_strip,multi-hole,3,1.0,1.0,1.0,1.0
Base summary,15,9,2.9355281505883255e-08,budget_06_thin_strip,double-loop,3,budget_06_thin_strip,nested-rings,1,1.0,0.0,1.0,1.0
Base summary,15,10,3.022072483355636e-08,budget_06_thin_strip,double-loop,3,budget_06_thin_strip,nested-rings,0,1.0,0.0,1.0,1.0
Base summary,16,1,2.514501262001713e-09,budget_06_thin_strip,mean-reversion,0,budget_06_thin_strip,mean-reversion,3,1.0,0.0,0.0,0.0
Base summary,16,2,3.6661125715831446e-09,budget_06_thin_strip,mean-reversion,0,budget_06_thin_strip,mean-reversion,2,0.0,0.0,0.0,0.0
Base summary,16,3,5.092768185679017e-09,budget_06_thin_strip,mean-reversion,0,budget_06_thin_strip,mean-reversion,1,1.0,0.0,0.0,0.0
Base summary,16,4,3.611395219004636e-08,budget_06_thin_strip,mean-reversion,0,budget_06_thin_strip,volatility-clustering,1,1.0,1.0,1.0,1.0
Base summary,16,5,4.143161168088232e-08,budget_06_thin_strip,mean-reversion,0,budget_06_thin_strip,volatility-clustering,3,1.0,0.0,1.0,1.0
Base summary,16,6,4.2522178684650497e-08,budget_06_thin_strip,mean-reversion,0,budget_06_thin_strip,volatility-clustering,0,1.0,0.0,1.0,1.0
Base summary,16,7,4.5853866821009433e-08,budget_06_thin_strip,mean-reversion,0,budget_06_thin_strip,volatility-clustering,2,1.0,0.0,1.0,1.0
Base summary,16,8,5.003957422435347e-08,budget_06_thin_strip,mean-reversion,0,budget_06_thin_strip,double-loop,1,0.0,0.0,1.0,0.0
Base summary,16,9,5.1672299062230565e-08,budget_06_thin_strip,mean-reversion,0,budget_06_thin_strip,double-loop,3,0.0,0.0,1.0,1.0
Base summary,16,10,5.205147889009906e-08,budget_06_thin_strip,mean-reversion,0,budget_06_thin_strip,double-loop,0,1.0,0.0,1.0,1.0
Base summary,17,1,2.7732913524991294e-09,budget_06_thin_strip,mean-reversion,1,budget_06_thin_strip,mean-reversion,3,0.0,0.0,0.0,0.0
Base summary,17,2,5.092768185679017e-09,budget_06_thin_strip,mean-reversion,1,budget_06_thin_strip,mean-reversion,0,1.0,0.0,0.0,0.0
Base summary,17,3,5.5662703118784295e-09,budget_06_thin_strip,mean-reversion,1,budget_06_thin_strip,mean-reversion,2,1.0,0.0,0.0,0.0
Base summary,17,4,3.1141397405152467e-08,budget_06_thin_strip,mean-reversion,1,budget_06_thin_strip,volatility-clustering,1,1.0,1.0,1.0,1.0
Base summary,17,5,3.677395750076285e-08,budget_06_thin_strip,mean-reversion,1,budget_06_thin_strip,volatility-clustering,3,0.0,0.0,1.0,1.0
Base summary,17,6,3.757377575929187e-08,budget_06_thin_strip,mean-reversion,1,budget_06_thin_strip,volatility-clustering,0,0.0,0.0,1.0,1.0
Base summary,17,7,4.1596050384299795e-08,budget_06_thin_strip,mean-reversion,1,budget_06_thin_strip,volatility-clustering,2,0.0,0.0,1.0,1.0
Base summary,17,8,4.7908529926478994e-08,budget_06_thin_strip,mean-reversion,1,budget_06_thin_strip,double-loop,1,1.0,0.0,1.0,0.0
Base summary,17,9,4.941114034364818e-08,budget_06_thin_strip,mean-reversion,1,budget_06_thin_strip,double-loop,3,1.0,0.0,1.0,1.0
Base summary,17,10,5.000990230425295e-08,budget_06_thin_strip,mean-reversion,1,budget_06_thin_strip,double-loop,0,0.0,0.0,1.0,1.0
Base summary,18,1,3.6661125715831446e-09,budget_06_thin_strip,mean-reversion,2,budget_06_thin_strip,mean-reversion,0,0.0,0.0,0.0,0.0
Base summary,18,2,4.167488845721648e-09,budget_06_thin_strip,mean-reversion,2,budget_06_thin_strip,mean-reversion,3,1.0,0.0,0.0,0.0
Base summary,18,3,5.5662703118784295e-09,budget_06_thin_strip,mean-reversion,2,budget_06_thin_strip,mean-reversion,1,1.0,0.0,0.0,0.0
Base summary,18,4,3.613380733475177e-08,budget_06_thin_strip,mean-reversion,2,budget_06_thin_strip,volatility-clustering,1,1.0,1.0,1.0,1.0
Base summary,18,5,4.206817402270247e-08,budget_06_thin_strip,mean-reversion,2,budget_06_thin_strip,volatility-clustering,3,1.0,0.0,1.0,1.0
